game_id,date,season,week,league,away,home,blocks,catches,completions,goals,hockeyAssists,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-05-CAR-ATL,2023-05-05,2023,2,,CAR,ATL,,3.0,3.0,,1.0,,4.0,1.0,34.0,73.0
2023-05-21-ATL-CAR,2023-05-21,2023,4,,ATL,CAR,1.0,3.0,5.0,,,4.0,5.0,,-32.0,36.0
2023-05-26-HTX-CAR,2023-05-26,2023,5,,HTX,CAR,,6.0,4.0,,,10.0,4.0,,16.0,16.0
2023-06-09-CAR-DAL,2023-06-09,2023,7,,CAR,DAL,2.0,5.0,3.0,,,8.0,3.0,1.0,35.0,16.0
2023-06-10-CAR-ATX,2023-06-10,2023,7,,CAR,ATX,,,,1.0,,,,,,
