game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2023_W1_GAMBLERS,,2023,1,USFL,,,0.0,10.0,2.0,2.0,41.0
SYNTHETIC_USFL_2023_W2_GAMBLERS,,2023,2,USFL,,,0.0,26.0,2.0,1.0,94.0
SYNTHETIC_USFL_2023_W3_GAMBLERS,,2023,3,USFL,,,0.0,8.0,2.0,0.0,44.0
SYNTHETIC_USFL_2023_W5_GAMBLERS,,2023,5,USFL,,,0.0,14.0,1.0,0.0,18.0
SYNTHETIC_UFL_2024_W1_ROUGHNECKS,,2024,1,UFL,,,0.0,14.0,2.0,0.0,15.0
SYNTHETIC_UFL_2024_W2_ROUGHNECKS,,2024,2,UFL,,,0.0,10.0,3.0,0.0,47.0
SYNTHETIC_UFL_2024_W3_ROUGHNECKS,,2024,3,UFL,,,0.0,35.0,4.0,0.0,34.0
SYNTHETIC_UFL_2024_W4_ROUGHNECKS,,2024,4,UFL,,,0.0,11.0,1.0,0.0,30.0
SYNTHETIC_UFL_2024_W5_ROUGHNECKS,,2024,5,UFL,,,0.0,15.0,4.0,0.0,15.0
SYNTHETIC_UFL_2024_W6_ROUGHNECKS,,2024,6,UFL,,,0.0,6.0,1.0,0.0,38.0
SYNTHETIC_UFL_2024_W7_ROUGHNECKS,,2024,7,UFL,,,,,,0.0,30.0
SYNTHETIC_UFL_2024_W8_ROUGHNECKS,,2024,8,UFL,,,0.0,5.0,1.0,0.0,39.0
SYNTHETIC_UFL_2024_W9_ROUGHNECKS,,2024,9,UFL,,,,,,0.0,5.0
