game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W2_RUSH,,,2,AUDL,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0
SYNTHETIC_AUDL_W3_RUSH,,,3,AUDL,,,0.0,0.0,,,0.0,0.0,,1.0,-4.0,21.0
2022-06-17-TOR-PHI,2022-06-17,2022,4,,TOR,PHI,0.0,0.0,,,0.0,0.0,,0.0,10.0,25.0
2022-06-18-TOR-DC,2022-06-18,2022,4,,TOR,DC,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0
2022-06-25-BOS-TOR,2022-06-25,2022,5,,BOS,TOR,0.0,0.0,,,0.0,0.0,,0.0,0.0,-4.0
2022-07-02-TOR-OTT,2022-07-02,2022,6,,TOR,OTT,1.0,0.0,,,1.0,0.0,,0.0,-7.0,32.0
2022-07-16-PHI-TOR,2022-07-16,2022,8,,PHI,TOR,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0
2023-05-06-TOR-BOS,2023-05-06,2023,2,,TOR,BOS,,,2.0,1.0,,1.0,1.0,,46.0,5.0
2023-07-01-BOS-TOR,2023-07-01,2023,10,,BOS,TOR,,,1.0,,,1.0,,,5.0,
2023-07-15-TOR-DET,2023-07-15,2023,12,,TOR,DET,,,6.0,8.0,,,8.0,,38.0,6.0
2023-07-22-TOR-PHI,2023-07-22,2023,13,,TOR,PHI,,0.0,,0.0,,,0.0,,,0.0
