game_id,date,season,week,league,away,home,1pt_conversion,conversions,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_XFL_2023_W4_GUARDIANS,,2023,4,XFL,,,,,,,17.0,2.0,,40.0
SYNTHETIC_XFL_2023_W5_GUARDIANS,,2023,5,XFL,,,1.0,,,,,,1.0,17.0
FOOTBALL_XFL_2023_3_25_SEA@ORL,2023-03-25,2023,6,XFL,SEA,ORL,,,1.0,,13.0,1.0,2.0,82.0
SYNTHETIC_XFL_2023_W6_GUARDIANS,,2023,6,XFL,,,1.0,0.0,,,,,,
FOOTBALL_XFL_2023_4_1_DC@ORL,2023-04-01,2023,7,XFL,DC,ORL,,,,,16.0,1.0,,17.0
SYNTHETIC_XFL_2023_W7_GUARDIANS,,2023,7,XFL,,,0.0,0.0,,,,,,
FOOTBALL_XFL_2023_4_8_ARL@ORL,2023-04-08,2023,8,XFL,ARL,ORL,,,,,9.0,1.0,,5.0
FOOTBALL_XFL_2023_4_15_ORL@SA,2023-04-15,2023,9,XFL,ORL,SA,,,,,1.0,1.0,1.0,133.0
FOOTBALL_XFL_2023_4_22_ORL@STL,2023-04-22,2023,10,XFL,ORL,STL,,,,,29.0,3.0,,0.0
SYNTHETIC_UFL_2024_W7_RENEGADES,,2024,7,UFL,,,,,,,,,0.0,6.0
SYNTHETIC_UFL_2024_W8_RENEGADES,,2024,8,UFL,,,,,,0.0,-5.0,1.0,0.0,1.0
SYNTHETIC_UFL_2024_W9_RENEGADES,,2024,9,UFL,,,,,,,,,0.0,41.0
SYNTHETIC_UFL_2024_W10_RENEGADES,,2024,10,UFL,,,,1.0,,,,,0.0,26.0
