game_id,date,season,week,league,away,home,extra_point,field_goal_yards,missed
SYNTHETIC_USFL_2023_W1_GENERALS,,2023,1,USFL,,,1.0,25.0,
SYNTHETIC_USFL_2023_W2_GENERALS,,2023,2,USFL,,,2.0,81.0,
SYNTHETIC_USFL_2023_W3_GENERALS,,2023,3,USFL,,,4.0,,
SYNTHETIC_USFL_2023_W4_GENERALS,,2023,4,USFL,,,2.0,,
SYNTHETIC_USFL_2023_W5_GENERALS,,2023,5,USFL,,,1.0,78.0,
SYNTHETIC_USFL_2023_W6_GENERALS,,2023,6,USFL,,,1.0,35.0,
SYNTHETIC_USFL_2023_W7_GENERALS,,2023,7,USFL,,,1.0,46.0,
SYNTHETIC_USFL_2023_W8_GENERALS,,2023,8,USFL,,,1.0,56.0,1.0
SYNTHETIC_USFL_2023_W9_GENERALS,,2023,9,USFL,,,4.0,37.0,
SYNTHETIC_USFL_2023_W10_GENERALS,,2023,10,USFL,,,,62.0,
