game_id,date,season,week,league,away,home,interceptions_lost,lost_fumbles,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_W1_HOU,,,1,USFL,,,,,,,0.0,-1.0,1.0,,
SYNTHETIC_USFL_W2_HOU,,,2,USFL,,,,,,,0.0,40.0,5.0,,
SYNTHETIC_USFL_W3_HOU,,,3,USFL,,,,0.0,,,1.0,85.0,2.0,,
SYNTHETIC_USFL_W4_HOU,,,4,USFL,,,,,,,0.0,6.0,2.0,,
SYNTHETIC_USFL_W5_HOU,,,5,USFL,,,,,,,0.0,10.0,2.0,0.0,3.0
SYNTHETIC_USFL_W6_HOU,,,6,USFL,,,,,,,0.0,3.0,2.0,,
SYNTHETIC_USFL_W7_HOU,,,7,USFL,,,,,,,0.0,32.0,5.0,0.0,1.0
SYNTHETIC_USFL_W8_HOU,,,8,USFL,,,0.0,,0.0,0.0,0.0,30.0,4.0,,
SYNTHETIC_USFL_W9_HOU,,,9,USFL,,,,,,,0.0,19.0,3.0,,
SYNTHETIC_USFL_W10_HOU,,,10,USFL,,,,,,,0.0,19.0,2.0,0.0,0.0
SYNTHETIC_USFL_2023_W1_GAMBLERS,,2023,1,USFL,,,,,,,0.0,13.0,2.0,,
SYNTHETIC_USFL_2023_W2_GAMBLERS,,2023,2,USFL,,,,,,,1.0,95.0,4.0,,
SYNTHETIC_USFL_2023_W3_GAMBLERS,,2023,3,USFL,,,,,,,0.0,0.0,0.0,,
SYNTHETIC_USFL_2023_W4_GAMBLERS,,2023,4,USFL,,,,,,,1.0,55.0,4.0,,
SYNTHETIC_USFL_2023_W5_GAMBLERS,,2023,5,USFL,,,,,,,1.0,50.0,1.0,,
SYNTHETIC_USFL_2023_W6_GAMBLERS,,2023,6,USFL,,,,,,,0.0,7.0,1.0,,
SYNTHETIC_USFL_2023_W7_GAMBLERS,,2023,7,USFL,,,,,,,0.0,4.0,1.0,,
SYNTHETIC_UFL_2024_W1_ROUGHNECKS,,2024,1,UFL,,,,,,,0.0,17.0,2.0,,
SYNTHETIC_UFL_2024_W2_ROUGHNECKS,,2024,2,UFL,,,,,,,0.0,6.0,2.0,,
SYNTHETIC_UFL_2024_W4_ROUGHNECKS,,2024,4,UFL,,,,,,,0.0,12.0,1.0,,
SYNTHETIC_UFL_2024_W5_ROUGHNECKS,,2024,5,UFL,,,,,,,0.0,11.0,2.0,,
SYNTHETIC_UFL_2024_W6_ROUGHNECKS,,2024,6,UFL,,,,,,,0.0,10.0,2.0,,
SYNTHETIC_UFL_2024_W7_ROUGHNECKS,,2024,7,UFL,,,,,,,0.0,25.0,3.0,,
SYNTHETIC_UFL_2024_W9_ROUGHNECKS,,2024,9,UFL,,,,,,,0.0,7.0,1.0,,
SYNTHETIC_UFL_2024_W10_ROUGHNECKS,,2024,10,UFL,,,,,,,0.0,31.0,3.0,,
