game_id,date,season,week,league,away,home,interceptions,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SWKANSAS-NASHVILLE,,,0,,,,0.0,,3.0,169.0,,,,1.0,48.0
SALINA-CORPUS,,,1,,,,0.0,,3.0,169.0,,,,3.0,29.0
STORM-FIREBIRDS,,,2,,,,3.0,,0.0,95.0,,,,2.0,88.0
STORM-LIGHTNING-0330,0330,,3,,STORM,LIGHTNING,2.0,,4.0,227.0,,,,1.0,33.0
SWKANSAS-OREGON-0412,0412,,3,,SWKANSAS,OREGON,2.0,,2.0,219.0,,,,0.0,23.0
SWKANSAS-NASHVILLE-0425,0425,,7,,SWKANSAS,NASHVILLE,0.0,,,,,,,0.0,0.0
SWKANSAS-NASHVILLE-0426,0426,,7,,SWKANSAS,NASHVILLE,2.0,,3.0,115.0,,,,,
SWKANSAS-BILLINGS-0503,0503,,8,,SWKANSAS,BILLINGS,,1.0,1.0,97.0,,,,3.0,32.0
WASHINGTON-SWKANSAS-05-25,,,11,,,,0.0,,5.0,135.0,,,,0.0,73.0
SALINA-KANSAS-0607,0607,,13,,SALINA,KANSAS,1.0,,4.0,316.0,0.0,7.0,1.0,2.0,26.0
SWKANSAS-SALINA-0615,0615,,14,,SWKANSAS,SALINA,2.0,,3.0,236.0,,,,3.0,57.0
SWKANSAS-NASHVILLE-0622,0622,,15,,SWKANSAS,NASHVILLE,0.0,,6.0,296.0,,,,,
SYNTHETIC_USFL_2023_W3_STALLIONS,,2023,3,USFL,,,,,,,,,,0.0,5.0
SYNTHETIC_AF1_2025_W5_SWKANSAS,,2025,5,AF1,,,,2.0,2.0,219.0,,,,,23.0
SYNTHETIC_AF1_2025_W6_SWKANSAS,,2025,6,AF1,,,,2.0,6.0,264.0,,,,,23.0
SYNTHETIC_AF1_2025_W10_SWKANSAS,,2025,10,AF1,,,,,6.0,272.0,,,,1.0,14.0
SYNTHETIC_UFL_2026_W2_COLUMBUSAVIATORS,,2026,2,UFL,,,,1.0,0.0,0.0,,,,0.0,-3.0
SYNTHETIC_UFL_2026_W3_COLUMBUSAVIATORS,,2026,3,UFL,,,,,,,,,,0.0,4.0
SYNTHETIC_UFL_2026_W5_COLUMBUSAVIATORS,,2026,5,UFL,,,,0.0,0.0,-1.0,,,,,
SYNTHETIC_UFL_2026_W6_COLUMBUSAVIATORS,,2026,6,UFL,,,,0.0,0.0,1.0,,,,0.0,2.0
