game_id,date,season,week,league,away,home,1pt_conversion,lost_fumbles,receiving_tds,receiving_yards,receptions
SYNTHETIC_UFL_2024_W6_PANTHERS,,2024,6,UFL,,,,,0.0,27.0,2.0
SYNTHETIC_UFL_2024_W7_PANTHERS,,2024,7,UFL,,,1.0,,0.0,45.0,6.0
SYNTHETIC_UFL_2024_W8_PANTHERS,,2024,8,UFL,,,,,0.0,39.0,2.0
SYNTHETIC_UFL_2024_W9_PANTHERS,,2024,9,UFL,,,,,0.0,13.0,1.0
SYNTHETIC_UFL_2024_W10_PANTHERS,,2024,10,UFL,,,,,0.0,0.0,0.0
SYNTHETIC_UFL_2025_W1_PANTHERS,,2025,1,UFL,,,,,1.0,35.0,2.0
SYNTHETIC_UFL_2025_W2_PANTHERS,,2025,2,UFL,,,,,0.0,23.0,1.0
SYNTHETIC_UFL_2025_W3_PANTHERS,,2025,3,UFL,,,,,0.0,12.0,1.0
SYNTHETIC_UFL_2025_W4_PANTHERS,,2025,4,UFL,,,1.0,,0.0,0.0,0.0
SYNTHETIC_UFL_2025_W5_PANTHERS,,2025,5,UFL,,,,,0.0,46.0,3.0
SYNTHETIC_UFL_2025_W7_PANTHERS,,2025,7,UFL,,,,1.0,0.0,0.0,0.0
SYNTHETIC_UFL_2025_W8_PANTHERS,,2025,8,UFL,,,,,1.0,1.0,1.0
SYNTHETIC_UFL_2025_W9_PANTHERS,,2025,9,UFL,,,1.0,,0.0,4.0,1.0
SYNTHETIC_UFL_2025_W10_PANTHERS,,2025,10,UFL,,,,,0.0,0.0,0.0
