game_id,date,season,week,league,away,home,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W1_SUMMIT,,,1,AUDL,,,3.0,0.0,,,,0.0,0.0,,,,,4.0,165.0,420.0
SYNTHETIC_AUDL_W2_SUMMIT,,,2,AUDL,,,5.0,0.0,,,,0.0,1.0,,,,,2.0,43.0,442.0
SYNTHETIC_AUDL_W3_SUMMIT,,,3,AUDL,,,7.0,1.0,,,,0.0,0.0,,,,,4.0,80.0,174.0
2022-06-18-SEA-COL,2022-06-18,2022,4,,SEA,COL,3.0,0.0,,,,0.0,0.0,,,,,3.0,131.0,250.0
2022-06-25-SD-COL,2022-06-25,2022,5,,SD,COL,4.0,0.0,,,,0.0,1.0,,,,,2.0,133.0,498.0
2022-07-02-LA-COL,2022-07-02,2022,6,,LA,COL,1.0,0.0,,,,0.0,3.0,,,,,2.0,170.0,245.0
2022-07-15-COL-SD,2022-07-15,2022,8,,COL,SD,6.0,0.0,,,,0.0,0.0,,,,,5.0,146.0,768.0
2022-07-16-COL-LA,2022-07-16,2022,8,,COL,LA,5.0,0.0,,,,0.0,0.0,,,,,3.0,197.0,422.0
2022-07-30-POR-COL,2022-07-30,2022,10,,POR,COL,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0
2023-05-05-COL-SD,2023-05-05,2023,2,,COL,SD,7.0,,,41.0,53.0,,,,3.0,,60.0,6.0,90.0,588.0
2023-05-06-COL-LA,2023-05-06,2023,2,,COL,LA,,1.0,,,,,,1.0,,,,,,
2023-05-13-SEA-COL,2023-05-13,2023,3,,SEA,COL,6.0,,,33.0,42.0,,1.0,3.0,4.0,,44.0,2.0,65.0,437.0
2023-05-20-LA-COL,2023-05-20,2023,4,,LA,COL,7.0,1.0,1.0,37.0,49.0,,1.0,1.0,1.0,,53.0,3.0,119.0,272.0
2023-06-09-SLC-COL,2023-06-09,2023,7,,SLC,COL,1.0,,,26.0,30.0,,1.0,4.0,3.0,,34.0,4.0,97.0,257.0
2023-06-24-MIN-COL,2023-06-24,2023,9,,MIN,COL,5.0,1.0,,29.0,32.0,,,2.0,2.0,,36.0,3.0,59.0,187.0
2023-07-14-NY-COL,2023-07-14,2023,12,,NY,COL,3.0,,,29.0,34.0,,,1.0,,1.0,38.0,4.0,134.0,351.0
2024-05-04-SEA-COL,2024-05-04,2024,2,,SEA,COL,4.0,0.0,,,,0.0,0.0,,,,,0.0,54.0,248.0
2024-05-18-SLC-COL,2024-05-18,2024,4,,SLC,COL,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0
2024-05-31-ATL-COL,2024-05-31,2024,6,,ATL,COL,3.0,1.0,,,,0.0,0.0,,,,,2.0,165.0,503.0
2024-06-07-COL-OAK,2024-06-07,2024,7,,COL,OAK,3.0,0.0,,,,0.0,0.0,,,,,5.0,119.0,391.0
2024-06-08-COL-SLC,2024-06-08,2024,7,,COL,SLC,2.0,0.0,,,,0.0,0.0,,,,,0.0,68.0,328.0
2024-06-14-COL-MAD,2024-06-14,2024,8,,COL,MAD,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0
2024-06-15-COL-MIN,2024-06-15,2024,8,,COL,MIN,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0
2024-06-21-SD-COL,2024-06-21,2024,9,,SD,COL,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0
2024-06-29-COL-SEA,2024-06-29,2024,10,,COL,SEA,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0
2024-06-30-COL-POR,2024-06-30,2024,10,,COL,POR,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0
2024-07-06-IND-COL,2024-07-06,2024,11,,IND,COL,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0
2024-07-12-LA-COL,2024-07-12,2024,12,,LA,COL,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0
