game_id,date,season,week,league,away,home,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_USFL_2023_W1_BREAKERS,,2023,1,USFL,,,,0.0,,1.0,302.0,,16.0
SYNTHETIC_USFL_2023_W2_BREAKERS,,2023,2,USFL,,,,0.0,,2.0,251.0,0.0,8.0
SYNTHETIC_USFL_2023_W3_BREAKERS,,2023,3,USFL,,,,1.0,,3.0,283.0,0.0,9.0
SYNTHETIC_USFL_2023_W4_BREAKERS,,2023,4,USFL,,,,1.0,,0.0,279.0,0.0,10.0
SYNTHETIC_USFL_2023_W5_BREAKERS,,2023,5,USFL,,,,1.0,2.0,1.0,206.0,0.0,0.0
SYNTHETIC_USFL_2023_W6_BREAKERS,,2023,6,USFL,,,,2.0,,1.0,190.0,0.0,0.0
SYNTHETIC_USFL_2023_W7_BREAKERS,,2023,7,USFL,,,1.0,1.0,,1.0,279.0,0.0,0.0
SYNTHETIC_USFL_2023_W8_BREAKERS,,2023,8,USFL,,,,2.0,,2.0,328.0,0.0,0.0
SYNTHETIC_USFL_2023_W9_BREAKERS,,2023,9,USFL,,,,0.0,,1.0,88.0,0.0,5.0
SYNTHETIC_USFL_2023_W10_BREAKERS,,2023,10,USFL,,,,0.0,,2.0,227.0,0.0,-1.0
SYNTHETIC_USFL_2023_W11_BREAKERS,,2023,11,USFL,,,,2.0,,2.0,273.0,,
