game_id,date,season,week,league,away,home,1pt_conversion,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,rushing_yards
FOOTBALL_XFL_2023_4_1_SA@VGS,2023-04-01,2023,7,XFL,SA,VGS,,,1.0,1.0,1.0,179.0,7.0
SYNTHETIC_XFL_2023_W7_BRAHMAS,,2023,7,XFL,,,0.0,0.0,,,,,
