game_id,date,season,week,league,away,home,conversions,receiving_tds,receiving_yards,receptions
SYNTHETIC_UFL_2024_W1_RENEGADES,,2024,1,UFL,,,1.0,1.0,60.0,2.0
SYNTHETIC_UFL_2024_W2_RENEGADES,,2024,2,UFL,,,,0.0,0.0,0.0
SYNTHETIC_UFL_2024_W3_RENEGADES,,2024,3,UFL,,,,0.0,12.0,1.0
SYNTHETIC_UFL_2024_W4_RENEGADES,,2024,4,UFL,,,,0.0,6.0,1.0
SYNTHETIC_UFL_2024_W6_RENEGADES,,2024,6,UFL,,,,0.0,0.0,0.0
SYNTHETIC_UFL_2024_W9_RENEGADES,,2024,9,UFL,,,2.0,1.0,64.0,4.0
SYNTHETIC_UFL_2024_W10_RENEGADES,,2024,10,UFL,,,,0.0,33.0,4.0
SYNTHETIC_UFL_2025_W1_RENEGADES,,2025,1,UFL,,,,0.0,19.0,4.0
SYNTHETIC_UFL_2025_W2_RENEGADES,,2025,2,UFL,,,,0.0,73.0,7.0
SYNTHETIC_UFL_2025_W3_RENEGADES,,2025,3,UFL,,,,0.0,29.0,3.0
SYNTHETIC_UFL_2025_W4_RENEGADES,,2025,4,UFL,,,1.0,0.0,14.0,2.0
SYNTHETIC_UFL_2025_W5_RENEGADES,,2025,5,UFL,,,,0.0,67.0,3.0
SYNTHETIC_UFL_2025_W6_RENEGADES,,2025,6,UFL,,,,0.0,14.0,2.0
SYNTHETIC_UFL_2025_W7_RENEGADES,,2025,7,UFL,,,,0.0,8.0,1.0
SYNTHETIC_UFL_2025_W8_RENEGADES,,2025,8,UFL,,,,0.0,30.0,4.0
SYNTHETIC_UFL_2025_W9_RENEGADES,,2025,9,UFL,,,,0.0,0.0,0.0
SYNTHETIC_UFL_2025_W10_RENEGADES,,2025,10,UFL,,,,0.0,53.0,5.0
SYNTHETIC_UFL_2026_W1_LOUISVILLEKINGS,,2026,1,UFL,,,,0.0,60.0,2.0
SYNTHETIC_UFL_2026_W3_LOUISVILLEKINGS,,2026,3,UFL,,,,0.0,114.0,7.0
SYNTHETIC_UFL_2026_W4_LOUISVILLEKINGS,,2026,4,UFL,,,,0.0,31.0,5.0
SYNTHETIC_UFL_2026_W5_LOUISVILLEKINGS,,2026,5,UFL,,,,0.0,6.0,1.0
