game_id,date,season,week,league,away,home,assists,catches,completions,goals,hockeyAssists,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-06-02-CAR-DC,2023-06-02,2023,6,,CAR,DC,1.0,26.0,25.0,1.0,3.0,27.0,2.0,56.0,162.0
2023-06-16-MTL-DC,2023-06-16,2023,8,,MTL,DC,2.0,11.0,12.0,,4.0,12.0,,61.0,50.0
2023-06-23-DC-MTL,2023-06-23,2023,9,,DC,MTL,2.0,28.0,32.0,,3.0,32.0,1.0,133.0,135.0
2023-06-24-DC-BOS,2023-06-24,2023,9,,DC,BOS,,,,1.0,,,,,
2023-07-15-DC-PHI,2023-07-15,2023,12,,DC,PHI,2.0,30.0,38.0,,1.0,38.0,,85.0,219.0
2023-07-21-TOR-DC,2023-07-21,2023,13,,TOR,DC,1.0,16.0,20.0,1.0,1.0,20.0,,90.0,175.0
