game_id,date,season,week,league,away,home,1pt_conversion,3pt_other,3pt_pass,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2023_W1_PANTHERS,,2023,1,USFL,,,,,,,0.0,,3.0,249.0,,,,0.0
SYNTHETIC_USFL_2023_W2_PANTHERS,,2023,2,USFL,,,,,,,2.0,,1.0,174.0,,,0.0,-2.0
SYNTHETIC_USFL_2023_W3_PANTHERS,,2023,3,USFL,,,,,,,1.0,,1.0,163.0,,,0.0,13.0
SYNTHETIC_USFL_2023_W4_PANTHERS,,2023,4,USFL,,,,,,,2.0,1.0,1.0,134.0,,,0.0,3.0
SYNTHETIC_USFL_2023_W5_PANTHERS,,2023,5,USFL,,,,,,,2.0,,1.0,162.0,-2.0,1.0,0.0,13.0
SYNTHETIC_USFL_2023_W6_PANTHERS,,2023,6,USFL,,,,,,,0.0,,1.0,222.0,,,0.0,5.0
SYNTHETIC_USFL_2023_W7_PANTHERS,,2023,7,USFL,,,,,,,0.0,,3.0,245.0,,,0.0,3.0
SYNTHETIC_USFL_2023_W8_PANTHERS,,2023,8,USFL,,,,,,,1.0,,2.0,221.0,,,0.0,8.0
SYNTHETIC_USFL_2023_W9_PANTHERS,,2023,9,USFL,,,,,,,4.0,,1.0,233.0,,,0.0,16.0
SYNTHETIC_USFL_2023_W10_PANTHERS,,2023,10,USFL,,,,,,1.0,0.0,,0.0,121.0,,,1.0,48.0
SYNTHETIC_UFL_2024_W1_PANTHERS,,2024,1,UFL,,,,,,2.0,2.0,,0.0,176.0,,,2.0,17.0
SYNTHETIC_UFL_2024_W2_PANTHERS,,2024,2,UFL,,,1.0,,,,1.0,1.0,1.0,203.0,,,0.0,34.0
SYNTHETIC_UFL_2024_W3_PANTHERS,,2024,3,UFL,,,,,,2.0,0.0,,1.0,208.0,,,2.0,73.0
SYNTHETIC_UFL_2024_W4_PANTHERS,,2024,4,UFL,,,,,,,1.0,2.0,1.0,182.0,,,0.0,59.0
SYNTHETIC_UFL_2024_W5_PANTHERS,,2024,5,UFL,,,,,,,0.0,,0.0,175.0,,,1.0,10.0
SYNTHETIC_UFL_2024_W6_PANTHERS,,2024,6,UFL,,,,,,,0.0,,1.0,202.0,,,0.0,55.0
SYNTHETIC_UFL_2024_W7_PANTHERS,,2024,7,UFL,,,1.0,,,,0.0,,0.0,153.0,,,1.0,13.0
SYNTHETIC_UFL_2024_W8_PANTHERS,,2024,8,UFL,,,,,,,0.0,,2.0,188.0,,,0.0,68.0
SYNTHETIC_UFL_2024_W9_PANTHERS,,2024,9,UFL,,,2.0,,,,2.0,,1.0,231.0,,,2.0,86.0
SYNTHETIC_UFL_2024_W10_PANTHERS,,2024,10,UFL,,,,,,,0.0,,1.0,195.0,,,1.0,73.0
SYNTHETIC_UFL_2024_W11_PANTHERS,,2024,11,UFL,,,,,,,3.0,,1.0,182.0,,,0.0,3.0
SYNTHETIC_UFL_2025_W1_PANTHERS,,2025,1,UFL,,,1.0,,,,0.0,,1.0,193.0,,,1.0,29.0
SYNTHETIC_UFL_2025_W2_PANTHERS,,2025,2,UFL,,,,1.0,,,1.0,,1.0,140.0,,,0.0,30.0
SYNTHETIC_UFL_2025_W3_PANTHERS,,2025,3,UFL,,,1.0,,,,1.0,,0.0,214.0,,,2.0,30.0
SYNTHETIC_UFL_2025_W4_PANTHERS,,2025,4,UFL,,,1.0,,,,0.0,,2.0,200.0,,,0.0,45.0
SYNTHETIC_UFL_2025_W5_PANTHERS,,2025,5,UFL,,,,,,1.0,1.0,,2.0,294.0,,,0.0,14.0
SYNTHETIC_UFL_2025_W6_PANTHERS,,2025,6,UFL,,,2.0,,,,0.0,,2.0,188.0,,,1.0,75.0
SYNTHETIC_UFL_2025_W7_PANTHERS,,2025,7,UFL,,,,,1.0,,0.0,1.0,1.0,231.0,,,1.0,60.0
SYNTHETIC_UFL_2025_W8_PANTHERS,,2025,8,UFL,,,1.0,,,,0.0,,3.0,167.0,,,0.0,22.0
SYNTHETIC_UFL_2025_W9_PANTHERS,,2025,9,UFL,,,1.0,,,,0.0,,2.0,236.0,,,0.0,15.0
SYNTHETIC_UFL_2025_W10_PANTHERS,,2025,10,UFL,,,,,,,2.0,2.0,0.0,131.0,,,0.0,56.0
