game_id,date,season,week,league,away,home,1pt_conversion,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_UFL_2024_W1_STALLIONS,,2024,1,UFL,,,,,1.0,,0.0,26.0,0.0,52.0
SYNTHETIC_UFL_2024_W2_STALLIONS,,2024,2,UFL,,,,,0.0,,0.0,88.0,0.0,66.0
SYNTHETIC_UFL_2024_W3_STALLIONS,,2024,3,UFL,,,,,0.0,1.0,2.0,334.0,1.0,44.0
SYNTHETIC_UFL_2024_W4_STALLIONS,,2024,4,UFL,,,,,,,,,0.0,3.0
SYNTHETIC_UFL_2024_W5_STALLIONS,,2024,5,UFL,,,,1.0,0.0,,1.0,155.0,0.0,138.0
SYNTHETIC_UFL_2024_W6_STALLIONS,,2024,6,UFL,,,,3.0,0.0,,4.0,368.0,0.0,25.0
SYNTHETIC_UFL_2024_W7_STALLIONS,,2024,7,UFL,,,1.0,,0.0,,3.0,230.0,0.0,60.0
SYNTHETIC_UFL_2024_W8_STALLIONS,,2024,8,UFL,,,1.0,,1.0,,3.0,173.0,2.0,44.0
SYNTHETIC_UFL_2024_W9_STALLIONS,,2024,9,UFL,,,,,1.0,,1.0,211.0,0.0,56.0
SYNTHETIC_UFL_2024_W10_STALLIONS,,2024,10,UFL,,,2.0,,0.0,,1.0,163.0,0.0,41.0
SYNTHETIC_UFL_2024_W11_STALLIONS,,2024,11,UFL,,,,,1.0,,1.0,164.0,0.0,8.0
SYNTHETIC_UFL_2024_W12_STALLIONS,,2024,12,UFL,,,,2.0,0.0,,1.0,98.0,2.0,52.0
