game_id,date,season,week,league,away,home,interceptions,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
STORM-FIREBIRDS,,,2,,,,0.0,0.0,9.0,,,,1.0,32.0
WASHINGTON-SWKANSAS-05-25,,,11,,,,0.0,2.0,101.0,,,,0.0,23.0
SALINA-KANSAS-0607,0607,,13,,SALINA,KANSAS,,,,0.0,21.0,1.0,1.0,4.0
SWKANSAS-SALINA-0615,0615,,14,,SWKANSAS,SALINA,,,,1.0,55.0,4.0,0.0,7.0
SYNTHETIC_AF1_2025_W6_SWKANSAS,,2025,6,AF1,,,,,,1.0,11.0,1.0,,
