game_id,date,season,week,league,away,home,1pt_conversion,conversions,interceptions_made,lost_fumbles,pass_defended,sacks,tackles
SYNTHETIC_USFL_W2_PIT,,,2,USFL,,,,,,0.0,,,
FOOTBALL_XFL_2023_2_19_STL@SA,2023-02-19,2023,1,XFL,STL,SA,,,,,,,1.0
FOOTBALL_XFL_2023_2_26_SA@ORL,2023-02-26,2023,2,XFL,SA,ORL,,,,,,,2.0
FOOTBALL_XFL_2023_3_5_SA@HOU,2023-03-05,2023,3,XFL,SA,HOU,,,,,,,1.0
FOOTBALL_XFL_2023_3_11_SA@SEA,2023-03-11,2023,4,XFL,SA,SEA,,,,,,,7.0
FOOTBALL_XFL_2023_3_19_ARL@SA,2023-03-19,2023,5,XFL,ARL,SA,,,,,1.0,,1.0
SYNTHETIC_XFL_2023_W5_BRAHMAS,,2023,5,XFL,,,0.0,0.0,,,,,
FOOTBALL_XFL_2023_3_26_SA@ARL,2023-03-26,2023,6,XFL,SA,ARL,,,,,1.0,,
FOOTBALL_XFL_2023_4_1_SA@VGS,2023-04-01,2023,7,XFL,SA,VGS,,,,1.0,1.0,,1.0
FOOTBALL_XFL_2023_4_9_HOU@SA,2023-04-09,2023,8,XFL,HOU,SA,,,,,,,1.0
SYNTHETIC_CFL_2024_W1_WPG,,2024,1,CFL,,,,,0.0,,,0.0,3.0
