game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-20-PIT-MIN,2023-05-20,2023,4,,PIT,MIN,,,1.0,2.0,,,2.0,,4.0,26.0
2023-05-27-MIN-DET,2023-05-27,2023,5,,MIN,DET,,,16.0,13.0,2.0,3.0,16.0,,100.0,36.0
2023-05-28-MIN-CHI,2023-05-28,2023,5,,MIN,CHI,,,,,,,,2.0,,
2023-06-03-CHI-MIN,2023-06-03,2023,6,,CHI,MIN,,2.0,11.0,10.0,,1.0,11.0,1.0,118.0,47.0
2023-06-10-MAD-MIN,2023-06-10,2023,7,,MAD,MIN,2.0,1.0,7.0,6.0,,,7.0,,94.0,79.0
2023-06-24-MIN-COL,2023-06-24,2023,9,,MIN,COL,1.0,,15.0,13.0,,,15.0,2.0,70.0,88.0
2023-07-07-MIN-MAD,2023-07-07,2023,11,,MIN,MAD,,0.0,15.0,12.0,,3.0,12.0,,126.0,49.0
2023-07-09-IND-MIN,2023-07-09,2023,11,,IND,MIN,1.0,,,,3.0,,,,,
2023-07-15-CHI-MIN,2023-07-15,2023,12,,CHI,MIN,,,12.0,10.0,,1.0,11.0,1.0,85.0,11.0
2023-07-23-DET-MIN,2023-07-23,2023,13,,DET,MIN,,1.0,12.0,10.0,2.0,,11.0,1.0,72.0,55.0
