game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-06-TOR-BOS,2023-05-06,2023,2,,TOR,BOS,1.0,,19.0,17.0,,4.0,,20.0,2.0,42.0,172.0
2023-05-13-PHI-BOS,2023-05-13,2023,3,,PHI,BOS,1.0,,14.0,16.0,1.0,1.0,,17.0,1.0,-8.0,111.0
2023-05-20-BOS-MTL,2023-05-20,2023,4,,BOS,MTL,2.0,,17.0,18.0,1.0,1.0,1.0,19.0,1.0,12.0,160.0
2023-06-02-NY-BOS,2023-06-02,2023,6,,NY,BOS,,,1.0,2.0,,1.0,1.0,2.0,,3.0,46.0
2023-06-24-DC-BOS,2023-06-24,2023,9,,DC,BOS,1.0,,1.0,2.0,,,1.0,2.0,,9.0,65.0
2023-07-01-BOS-TOR,2023-07-01,2023,10,,BOS,TOR,1.0,,5.0,10.0,,2.0,,10.0,,-4.0,58.0
2023-07-07-BOS-PHI,2023-07-07,2023,11,,BOS,PHI,,,5.0,6.0,,1.0,,6.0,,19.0,40.0
2023-07-08-BOS-DC,2023-07-08,2023,11,,BOS,DC,,2.0,,,,,,,,,
