game_id,date,season,week,league,away,home,assists,blocks,catches,completions,hockeyAssists,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-06-02-SEA-POR,2023-06-02,2023,6,,SEA,POR,1.0,,4.0,4.0,,4.0,,48.0,41.0
2023-06-17-POR-CHI,2023-06-17,2023,8,,POR,CHI,1.0,1.0,9.0,6.0,1.0,9.0,2.0,175.0,-4.0
