game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-19-SD-HTX,2023-05-19,2023,4,,SD,HTX,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,,16.0,17.0
2023-06-03-LA-SD,2023-06-03,2023,6,,LA,SD,1.0,,7.0,7.0,,,7.0,8.0,1.0,9.0,15.0
2023-06-10-SD-OAK,2023-06-10,2023,7,,SD,OAK,1.0,,10.0,14.0,,,6.0,14.0,,43.0,65.0
2023-06-17-SEA-SD,2023-06-17,2023,8,,SEA,SD,,,20.0,25.0,2.0,2.0,,25.0,,89.0,182.0
2023-07-01-SLC-SD,2023-07-01,2023,10,,SLC,SD,,1.0,10.0,12.0,,,1.0,13.0,1.0,5.0,58.0
2023-07-14-SD-POR,2023-07-14,2023,12,,SD,POR,,,12.0,15.0,,,12.0,17.0,,28.0,94.0
2023-07-15-SD-SEA,2023-07-15,2023,12,,SD,SEA,,,,,1.0,2.0,,,1.0,,
2023-07-22-OAK-SD,2023-07-22,2023,13,,OAK,SD,,,7.0,8.0,,,7.0,9.0,1.0,23.0,39.0
