game_id,date,season,week,league,away,home,conversions,receiving_tds,receiving_yards,receptions
SYNTHETIC_UFL_2025_W1_DEFENDERS,,2025,1,UFL,,,,0.0,23.0,2.0
SYNTHETIC_UFL_2025_W2_DEFENDERS,,2025,2,UFL,,,1.0,0.0,0.0,0.0
SYNTHETIC_UFL_2025_W3_DEFENDERS,,2025,3,UFL,,,,1.0,21.0,3.0
SYNTHETIC_UFL_2025_W4_DEFENDERS,,2025,4,UFL,,,,0.0,52.0,3.0
SYNTHETIC_UFL_2025_W5_DEFENDERS,,2025,5,UFL,,,,1.0,89.0,4.0
SYNTHETIC_UFL_2025_W7_DEFENDERS,,2025,7,UFL,,,,1.0,70.0,5.0
SYNTHETIC_UFL_2025_W8_DEFENDERS,,2025,8,UFL,,,,2.0,59.0,4.0
SYNTHETIC_UFL_2025_W9_DEFENDERS,,2025,9,UFL,,,,2.0,104.0,8.0
SYNTHETIC_UFL_2026_W2_DCDEFENDERS,,2026,2,UFL,,,,0.0,41.0,4.0
SYNTHETIC_UFL_2026_W3_DCDEFENDERS,,2026,3,UFL,,,,0.0,14.0,2.0
SYNTHETIC_UFL_2026_W4_DCDEFENDERS,,2026,4,UFL,,,,0.0,85.0,7.0
SYNTHETIC_UFL_2026_W5_DCDEFENDERS,,2026,5,UFL,,,,0.0,65.0,3.0
SYNTHETIC_UFL_2026_W6_DCDEFENDERS,,2026,6,UFL,,,,1.0,44.0,3.0
