game_id,date,season,week,league,away,home,fumble_recoveries,interceptions_made,points_against,sacks
SYNTHETIC_XFL_2023_W1_GUARDIANS,,2023,1,XFL,,,1.0,2.0,33.0,3.0
SYNTHETIC_XFL_2023_W2_GUARDIANS,,2023,2,XFL,,,,,30.0,3.0
FOOTBALL_XFL_2023_3_5_ORL@ARL,2023-03-05,2023,3,XFL,ORL,ARL,,,,2.0
SYNTHETIC_XFL_2023_W3_GUARDIANS,,2023,3,XFL,,,,,10.0,
FOOTBALL_XFL_2023_3_11_HOU@ORL,2023-03-11,2023,4,XFL,HOU,ORL,,,,2.0
SYNTHETIC_XFL_2023_W4_GUARDIANS,,2023,4,XFL,,,,,38.0,
SYNTHETIC_XFL_2023_W5_GUARDIANS,,2023,5,XFL,,,1.0,,35.0,
FOOTBALL_XFL_2023_3_25_SEA@ORL,2023-03-25,2023,6,XFL,SEA,ORL,,1.0,,1.0
SYNTHETIC_XFL_2023_W6_GUARDIANS,,2023,6,XFL,,,,,26.0,
FOOTBALL_XFL_2023_4_1_DC@ORL,2023-04-01,2023,7,XFL,DC,ORL,1.0,,,1.0
SYNTHETIC_XFL_2023_W7_GUARDIANS,,2023,7,XFL,,,,,36.0,
FOOTBALL_XFL_2023_4_8_ARL@ORL,2023-04-08,2023,8,XFL,ARL,ORL,3.0,,,1.0
SYNTHETIC_XFL_2023_W8_GUARDIANS,,2023,8,XFL,,,,,12.0,
FOOTBALL_XFL_2023_4_15_ORL@SA,2023-04-15,2023,9,XFL,ORL,SA,1.0,,,1.0
SYNTHETIC_XFL_2023_W9_GUARDIANS,,2023,9,XFL,,,,,19.0,
FOOTBALL_XFL_2023_4_22_ORL@STL,2023-04-22,2023,10,XFL,ORL,STL,,,,1.0
SYNTHETIC_XFL_2023_W10_GUARDIANS,,2023,10,XFL,,,,,53.0,
