game_id,date,season,week,league,away,home,interceptions_made,receiving_tds,receiving_yards,receptions,sacks,tackles
SYNTHETIC_CFL_2023_W7_WPG,,2023,7,CFL,,,,0.0,93.0,7.0,,
SYNTHETIC_CFL_2023_W9_WPG,,2023,9,CFL,,,,1.0,200.0,7.0,,
SYNTHETIC_CFL_2023_W10_WPG,,2023,10,CFL,,,,1.0,49.0,2.0,,
SYNTHETIC_CFL_2023_W11_WPG,,2023,11,CFL,,,,0.0,20.0,2.0,,
SYNTHETIC_CFL_2023_W12_WPG,,2023,12,CFL,,,0.0,1.0,65.0,2.0,0.0,1.0
SYNTHETIC_CFL_2023_W13_WPG,,2023,13,CFL,,,,1.0,48.0,2.0,,
SYNTHETIC_CFL_2023_W14_WPG,,2023,14,CFL,,,,1.0,104.0,4.0,,
SYNTHETIC_CFL_2023_W15_WPG,,2023,15,CFL,,,0.0,1.0,41.0,3.0,0.0,1.0
SYNTHETIC_CFL_2023_W17_WPG,,2023,17,CFL,,,0.0,0.0,29.0,3.0,0.0,1.0
SYNTHETIC_CFL_2023_W18_WPG,,2023,18,CFL,,,,0.0,97.0,9.0,,
SYNTHETIC_CFL_2023_W20_WPG,,2023,20,CFL,,,,0.0,98.0,6.0,,
SYNTHETIC_CFL_2023_W21_WPG,,2023,21,CFL,,,,0.0,57.0,3.0,,
SYNTHETIC_CFL_2024_W1_WPG,,2024,1,CFL,,,,0.0,26.0,3.0,,
SYNTHETIC_CFL_2024_W11_WPG,,2024,11,CFL,,,,0.0,54.0,4.0,,
SYNTHETIC_CFL_2024_W12_WPG,,2024,12,CFL,,,,1.0,17.0,2.0,,
SYNTHETIC_CFL_2024_W13_WPG,,2024,13,CFL,,,,0.0,54.0,3.0,,
SYNTHETIC_CFL_2024_W14_WPG,,2024,14,CFL,,,,1.0,64.0,6.0,,
SYNTHETIC_CFL_2024_W16_WPG,,2024,16,CFL,,,,0.0,26.0,2.0,,
SYNTHETIC_CFL_2024_W17_WPG,,2024,17,CFL,,,,2.0,130.0,8.0,,
SYNTHETIC_CFL_2024_W18_WPG,,2024,18,CFL,,,,0.0,78.0,3.0,,
SYNTHETIC_CFL_2024_W19_WPG,,2024,19,CFL,,,,0.0,108.0,6.0,,
SYNTHETIC_CFL_2024_W21_WPG,,2024,21,CFL,,,,0.0,105.0,4.0,,
SYNTHETIC_CFL_2025_W1_HAM,,2025,1,CFL,,,,1.0,87.0,6.0,,
SYNTHETIC_CFL_2025_W2_HAM,,2025,2,CFL,,,,0.0,162.0,8.0,,
SYNTHETIC_CFL_2025_W4_HAM,,2025,4,CFL,,,,1.0,27.0,4.0,,
SYNTHETIC_CFL_2025_W5_HAM,,2025,5,CFL,,,,3.0,207.0,6.0,,
SYNTHETIC_CFL_2025_W6_HAM,,2025,6,CFL,,,,2.0,95.0,6.0,,
SYNTHETIC_CFL_2025_W7_HAM,,2025,7,CFL,,,,1.0,66.0,3.0,,
SYNTHETIC_CFL_2025_W8_HAM,,2025,8,CFL,,,,0.0,29.0,2.0,,
SYNTHETIC_CFL_2025_W9_HAM,,2025,9,CFL,,,,0.0,28.0,4.0,,
SYNTHETIC_CFL_2025_W10_HAM,,2025,10,CFL,,,,0.0,82.0,4.0,,
SYNTHETIC_CFL_2025_W11_HAM,,2025,11,CFL,,,,0.0,62.0,3.0,,
SYNTHETIC_CFL_2025_W13_HAM,,2025,13,CFL,,,,2.0,123.0,9.0,,
SYNTHETIC_CFL_2025_W14_HAM,,2025,14,CFL,,,,0.0,79.0,4.0,,
SYNTHETIC_CFL_2025_W15_HAM,,2025,15,CFL,,,,0.0,97.0,7.0,,
SYNTHETIC_CFL_2025_W16_HAM,,2025,16,CFL,,,,1.0,46.0,3.0,,
SYNTHETIC_CFL_2025_W17_HAM,,2025,17,CFL,,,,0.0,34.0,2.0,,
SYNTHETIC_CFL_2025_W18_HAM,,2025,18,CFL,,,,2.0,63.0,3.0,,
SYNTHETIC_CFL_2025_W19_HAM,,2025,19,CFL,,,,1.0,113.0,8.0,,
SYNTHETIC_CFL_2025_W21_HAM,,2025,21,CFL,,,,0.0,43.0,4.0,,
