game_id,date,season,week,league,away,home,interceptions_lost,interceptions_made,points_against,sacks
SYNTHETIC_CFL_W3_HAM,,,3,CFL,,,,1.0,26.0,4.0
SYNTHETIC_CFL_W4_HAM,,,4,CFL,,,,1.0,29.0,1.0
SYNTHETIC_CFL_W6_HAM,,,6,CFL,,,,2.0,23.0,3.0
SYNTHETIC_CFL_W7_HAM,,,7,CFL,,,,2.0,17.0,1.0
SYNTHETIC_CFL_W8_HAM,,,8,CFL,,,,1.0,17.0,5.0
SYNTHETIC_CFL_W9_HAM,,,9,CFL,,,,0.0,34.0,3.0
SYNTHETIC_CFL_W10_HAM,,,10,CFL,,,,0.0,27.0,3.0
SYNTHETIC_CFL_W11_HAM,,,11,CFL,,,,1.0,29.0,2.0
SYNTHETIC_CFL_W12_HAM,,,12,CFL,,,,0.0,0.0,0.0
SYNTHETIC_CFL_W13_HAM,,,13,CFL,,,,0.0,0.0,0.0
SYNTHETIC_CFL_W15_HAM,,,15,CFL,,,,2.0,31.0,2.0
SYNTHETIC_CFL_W16_HAM,,,16,CFL,,,,0.0,23.0,0.0
SYNTHETIC_CFL_W18_HAM,,,18,CFL,,,,2.0,14.0,7.0
SYNTHETIC_CFL_W19_HAM,,,19,CFL,,,,3.0,32.0,2.0
SYNTHETIC_CFL_W20_HAM,,,20,CFL,,,,0.0,27.0,3.0
SYNTHETIC_CFL_2023_W1_HAM,,2023,1,CFL,,,,,42.0,1.0
SYNTHETIC_CFL_2023_W2_HAM,,2023,2,CFL,,,,,32.0,1.0
SYNTHETIC_CFL_2023_W3_HAM,,2023,3,CFL,,,,,38.0,4.0
SYNTHETIC_CFL_2023_W5_HAM,,2023,5,CFL,,,,3.0,13.0,5.0
SYNTHETIC_CFL_2023_W6_HAM,,2023,6,CFL,,,,2.0,29.0,2.0
SYNTHETIC_CFL_2023_W7_HAM,,2023,7,CFL,,,,,31.0,2.0
SYNTHETIC_CFL_2023_W8_HAM,,2023,8,CFL,,,,,12.0,7.0
SYNTHETIC_CFL_2023_W9_HAM,,2023,9,CFL,,,,,27.0,2.0
SYNTHETIC_CFL_2023_W11_HAM,,2023,11,CFL,,,,,24.0,1.0
SYNTHETIC_CFL_2023_W12_HAM,,2023,12,CFL,,,,,13.0,2.0
SYNTHETIC_CFL_2023_W13_HAM,,2023,13,CFL,,,,,41.0,0.0
