game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-MAD-PIT,2023-04-29,2023,1,,MAD,PIT,3.0,1.0,22.0,21.0,,1.0,2.0,1.0,1.0,22.0,1.0,219.0,100.0
2023-05-20-MAD-IND,2023-05-20,2023,4,,MAD,IND,2.0,,16.0,14.0,,1.0,2.0,,,16.0,2.0,117.0,103.0
2023-05-27-CHI-MAD,2023-05-27,2023,5,,CHI,MAD,2.0,1.0,21.0,22.0,,,3.0,3.0,,23.0,1.0,97.0,282.0
2023-06-04-PIT-MAD,2023-06-04,2023,6,,PIT,MAD,2.0,,12.0,11.0,,,1.0,,10.0,14.0,3.0,58.0,41.0
2023-06-10-MAD-MIN,2023-06-10,2023,7,,MAD,MIN,2.0,1.0,18.0,18.0,1.0,,3.0,3.0,6.0,24.0,5.0,122.0,236.0
2023-06-17-MIN-MAD,2023-06-17,2023,8,,MIN,MAD,2.0,2.0,18.0,18.0,,1.0,1.0,1.0,8.0,21.0,3.0,162.0,164.0
2023-06-23-IND-MAD,2023-06-23,2023,9,,IND,MAD,,1.0,6.0,6.0,,,,,13.0,6.0,,-3.0,27.0
2023-07-07-MIN-MAD,2023-07-07,2023,11,,MIN,MAD,,5.0,12.0,12.0,0.0,,,,0.0,16.0,4.0,97.0,97.0
2023-07-08-MAD-DET,2023-07-08,2023,11,,MAD,DET,1.0,,,,,1.0,3.0,,,,,,
2023-07-21-MAD-CHI,2023-07-21,2023,13,,MAD,CHI,1.0,,14.0,14.0,,,4.0,2.0,17.0,14.0,,104.0,175.0
2023-07-22-DET-MAD,2023-07-22,2023,13,,DET,MAD,,0.0,,,,0.0,,,,,0.0,,
