game_id,date,season,week,league,away,home,1pt_conversion,3pt_other,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_CFL_W1_HAM,,,1,CFL,,,,,,,,0.0,19.0,2.0,0.0,1.0
SYNTHETIC_CFL_W6_HAM,,,6,CFL,,,,,,,,0.0,36.0,4.0,0.0,34.0
SYNTHETIC_CFL_W7_HAM,,,7,CFL,,,,,,,,0.0,8.0,1.0,0.0,36.0
SYNTHETIC_CFL_W8_HAM,,,8,CFL,,,,,,,,0.0,26.0,4.0,1.0,24.0
SYNTHETIC_CFL_W9_HAM,,,9,CFL,,,,,0.0,0.0,1.0,1.0,67.0,8.0,0.0,47.0
SYNTHETIC_CFL_W10_HAM,,,10,CFL,,,,,,,,0.0,5.0,2.0,0.0,46.0
SYNTHETIC_CFL_W11_HAM,,,11,CFL,,,,,,,,0.0,21.0,4.0,0.0,41.0
SYNTHETIC_CFL_W20_HAM,,,20,CFL,,,,,,,,0.0,-7.0,1.0,0.0,27.0
SYNTHETIC_UFL_2025_W1_DEFENDERS,,2025,1,UFL,,,,,,,,0.0,0.0,0.0,0.0,42.0
SYNTHETIC_UFL_2025_W2_DEFENDERS,,2025,2,UFL,,,,,,,,,,,0.0,42.0
SYNTHETIC_UFL_2025_W3_DEFENDERS,,2025,3,UFL,,,,,,,,0.0,-4.0,1.0,0.0,54.0
SYNTHETIC_UFL_2025_W4_DEFENDERS,,2025,4,UFL,,,,,,,,,,,0.0,5.0
SYNTHETIC_UFL_2025_W5_DEFENDERS,,2025,5,UFL,,,,,,,,0.0,5.0,1.0,1.0,32.0
SYNTHETIC_UFL_2025_W6_DEFENDERS,,2025,6,UFL,,,,,,,,0.0,0.0,1.0,0.0,47.0
SYNTHETIC_UFL_2025_W7_DEFENDERS,,2025,7,UFL,,,1.0,,,,,0.0,5.0,1.0,1.0,45.0
SYNTHETIC_UFL_2025_W8_DEFENDERS,,2025,8,UFL,,,,1.0,,,,0.0,27.0,1.0,1.0,89.0
SYNTHETIC_UFL_2025_W9_DEFENDERS,,2025,9,UFL,,,,,,,,0.0,0.0,0.0,1.0,57.0
SYNTHETIC_UFL_2025_W10_DEFENDERS,,2025,10,UFL,,,,,,,,0.0,6.0,2.0,0.0,3.0
SYNTHETIC_UFL_2026_W1_DCDEFENDERS,,2026,1,UFL,,,,,,,,0.0,0.0,1.0,1.0,57.0
SYNTHETIC_UFL_2026_W2_DCDEFENDERS,,2026,2,UFL,,,,,,,,0.0,29.0,1.0,3.0,97.0
SYNTHETIC_UFL_2026_W3_DCDEFENDERS,,2026,3,UFL,,,,,,,,0.0,-2.0,1.0,1.0,70.0
SYNTHETIC_UFL_2026_W4_DCDEFENDERS,,2026,4,UFL,,,,,,,,0.0,5.0,4.0,0.0,20.0
SYNTHETIC_UFL_2026_W5_DCDEFENDERS,,2026,5,UFL,,,,,,,,0.0,4.0,1.0,0.0,23.0
SYNTHETIC_UFL_2026_W6_DCDEFENDERS,,2026,6,UFL,,,,,,,,,,,0.0,17.0
