game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-13-MTL-TOR,2023-05-13,2023,3,,MTL,TOR,1.0,,17.0,16.0,1.0,1.0,16.0,,112.0,178.0
2023-05-27-TOR-MTL,2023-05-27,2023,5,,TOR,MTL,,,4.0,5.0,,,5.0,,37.0,60.0
2023-06-11-BOS-MTL,2023-06-11,2023,7,,BOS,MTL,2.0,,19.0,19.0,,,19.0,,116.0,175.0
2023-06-25-MTL-TOR,2023-06-25,2023,9,,MTL,TOR,,,,1.0,,,1.0,,,1.0
2023-07-22-MTL-NY,2023-07-22,2023,13,,MTL,NY,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
