game_id,date,season,week,league,away,home,3pt_pass,interceptions_lost,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_UFL_2026_W2_BIRMINGHAMSTALLIONS,,2026,2,UFL,,,,0.0,0.0,19.0,0.0,6.0
SYNTHETIC_UFL_2026_W5_BIRMINGHAMSTALLIONS,,2026,5,UFL,,,1.0,2.0,2.0,313.0,1.0,43.0
