game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-MAD-PIT,2023-04-29,2023,1,,MAD,PIT,1.0,,6.0,6.0,1.0,,,,6.0,,54.0,11.0
2023-05-20-MAD-IND,2023-05-20,2023,4,,MAD,IND,,1.0,6.0,5.0,2.0,1.0,,,5.0,,70.0,8.0
2023-05-27-CHI-MAD,2023-05-27,2023,5,,CHI,MAD,,2.0,3.0,2.0,1.0,,,,2.0,,5.0,-1.0
2023-06-04-PIT-MAD,2023-06-04,2023,6,,PIT,MAD,1.0,,2.0,3.0,,1.0,,2.0,3.0,,17.0,21.0
2023-06-10-MAD-MIN,2023-06-10,2023,7,,MAD,MIN,,,5.0,4.0,,,,4.0,5.0,1.0,44.0,20.0
2023-06-17-MIN-MAD,2023-06-17,2023,8,,MIN,MAD,2.0,,9.0,10.0,1.0,2.0,2.0,7.0,10.0,,114.0,134.0
2023-06-23-IND-MAD,2023-06-23,2023,9,,IND,MAD,2.0,,5.0,6.0,,,,5.0,6.0,,57.0,26.0
2023-07-01-MAD-IND,2023-07-01,2023,10,,MAD,IND,,1.0,8.0,9.0,,,,11.0,10.0,1.0,104.0,-17.0
2023-07-07-MIN-MAD,2023-07-07,2023,11,,MIN,MAD,,1.0,10.0,9.0,,,,0.0,9.0,,108.0,37.0
2023-07-08-MAD-DET,2023-07-08,2023,11,,MAD,DET,,,,,3.0,,,,,,,
2023-07-21-MAD-CHI,2023-07-21,2023,13,,MAD,CHI,1.0,,6.0,4.0,3.0,,1.0,3.0,4.0,,117.0,29.0
2023-07-22-DET-MAD,2023-07-22,2023,13,,DET,MAD,,0.0,,,,,,,,0.0,,
