game_id,date,season,week,league,away,home,assists,catches,completions,drops,goals,hucksCompleted,throwAttempts,yardsReceived,yardsThrown
2023-05-13-MTL-TOR,2023-05-13,2023,3,,MTL,TOR,,6.0,6.0,,,,6.0,48.0,-13.0
2023-05-20-BOS-MTL,2023-05-20,2023,4,,BOS,MTL,,,1.0,,,,1.0,,-11.0
2023-06-11-BOS-MTL,2023-06-11,2023,7,,BOS,MTL,1.0,2.0,2.0,,,1.0,2.0,-4.0,79.0
2023-07-21-MTL-BOS,2023-07-21,2023,13,,MTL,BOS,1.0,4.0,3.0,1.0,1.0,1.0,3.0,52.0,73.0
