game_id,date,season,week,league,away,home,blocks,catches,completions,goals,hockeyAssists,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-06-MIN-IND,2023-05-06,2023,2,,MIN,IND,,4.0,4.0,,1.0,4.0,,-23.0,41.0
2023-05-20-PIT-MIN,2023-05-20,2023,4,,PIT,MIN,,3.0,2.0,,1.0,3.0,1.0,20.0,22.0
2023-05-28-MIN-CHI,2023-05-28,2023,5,,MIN,CHI,,6.0,7.0,,,8.0,1.0,1.0,60.0
2023-06-03-CHI-MIN,2023-06-03,2023,6,,CHI,MIN,1.0,38.0,38.0,,2.0,40.0,2.0,-17.0,89.0
2023-06-10-MAD-MIN,2023-06-10,2023,7,,MAD,MIN,,1.0,4.0,,,4.0,,12.0,14.0
2023-06-17-MIN-MAD,2023-06-17,2023,8,,MIN,MAD,,17.0,18.0,,,19.0,1.0,38.0,57.0
2023-06-24-MIN-COL,2023-06-24,2023,9,,MIN,COL,,9.0,14.0,,,14.0,,43.0,124.0
2023-07-15-CHI-MIN,2023-07-15,2023,12,,CHI,MIN,,13.0,13.0,1.0,,15.0,2.0,6.0,48.0
