game_id,date,season,week,league,away,home,extra_point,field_goal_yards
SYNTHETIC_CFL_2024_W1_TOR,,2024,1,CFL,,,3.0,109.0
SYNTHETIC_CFL_2024_W3_TOR,,2024,3,CFL,,,4.0,37.0
SYNTHETIC_CFL_2024_W4_TOR,,2024,4,CFL,,,,110.0
SYNTHETIC_CFL_2024_W5_TOR,,2024,5,CFL,,,,130.0
SYNTHETIC_CFL_2024_W6_TOR,,2024,6,CFL,,,4.0,80.0
SYNTHETIC_CFL_2024_W7_TOR,,2024,7,CFL,,,2.0,43.0
SYNTHETIC_CFL_2024_W8_TOR,,2024,8,CFL,,,1.0,119.0
SYNTHETIC_CFL_2024_W9_TOR,,2024,9,CFL,,,3.0,
SYNTHETIC_CFL_2024_W10_TOR,,2024,10,CFL,,,2.0,102.0
SYNTHETIC_CFL_2024_W12_TOR,,2024,12,CFL,,,1.0,141.0
SYNTHETIC_CFL_2024_W13_TOR,,2024,13,CFL,,,1.0,173.0
SYNTHETIC_CFL_2024_W14_TOR,,2024,14,CFL,,,1.0,72.0
SYNTHETIC_CFL_2024_W15_TOR,,2024,15,CFL,,,2.0,211.0
SYNTHETIC_CFL_2024_W16_TOR,,2024,16,CFL,,,2.0,121.0
SYNTHETIC_CFL_2024_W17_TOR,,2024,17,CFL,,,1.0,236.0
SYNTHETIC_CFL_2024_W19_TOR,,2024,19,CFL,,,1.0,86.0
SYNTHETIC_CFL_2024_W20_TOR,,2024,20,CFL,,,5.0,36.0
SYNTHETIC_CFL_2024_W21_TOR,,2024,21,CFL,,,3.0,71.0
SYNTHETIC_CFL_2025_W1_TOR,,2025,1,CFL,,,1.0,45.0
SYNTHETIC_CFL_2025_W2_TOR,,2025,2,CFL,,,,137.0
SYNTHETIC_CFL_2025_W3_TOR,,2025,3,CFL,,,1.0,105.0
SYNTHETIC_CFL_2025_W4_TOR,,2025,4,CFL,,,3.0,79.0
SYNTHETIC_CFL_2025_W5_TOR,,2025,5,CFL,,,2.0,103.0
SYNTHETIC_CFL_2025_W7_TOR,,2025,7,CFL,,,3.0,45.0
SYNTHETIC_CFL_2025_W8_TOR,,2025,8,CFL,,,1.0,167.0
SYNTHETIC_CFL_2025_W9_TOR,,2025,9,CFL,,,3.0,78.0
SYNTHETIC_CFL_2025_W10_TOR,,2025,10,CFL,,,3.0,65.0
SYNTHETIC_CFL_2025_W11_TOR,,2025,11,CFL,,,1.0,108.0
SYNTHETIC_CFL_2025_W12_TOR,,2025,12,CFL,,,6.0,68.0
SYNTHETIC_CFL_2025_W13_TOR,,2025,13,CFL,,,3.0,94.0
SYNTHETIC_CFL_2025_W15_TOR,,2025,15,CFL,,,2.0,128.0
SYNTHETIC_CFL_2025_W16_TOR,,2025,16,CFL,,,1.0,121.0
SYNTHETIC_CFL_2025_W17_TOR,,2025,17,CFL,,,1.0,203.0
SYNTHETIC_CFL_2025_W18_TOR,,2025,18,CFL,,,2.0,211.0
SYNTHETIC_CFL_2025_W19_TOR,,2025,19,CFL,,,,153.0
SYNTHETIC_CFL_2025_W20_TOR,,2025,20,CFL,,,,106.0
