game_id,date,season,week,league,away,home,field_goal_yards,missed
SYNTHETIC_XFL_2023_W1_BATTLEHAWKS,,2023,1,XFL,,,32.0,1.0
SYNTHETIC_XFL_2023_W2_BATTLEHAWKS,,2023,2,XFL,,,88.0,2.0
SYNTHETIC_XFL_2023_W3_BATTLEHAWKS,,2023,3,XFL,,,0.0,1.0
SYNTHETIC_XFL_2023_W4_BATTLEHAWKS,,2023,4,XFL,,,28.0,0.0
SYNTHETIC_XFL_2023_W5_BATTLEHAWKS,,2023,5,XFL,,,70.0,0.0
SYNTHETIC_XFL_2023_W6_BATTLEHAWKS,,2023,6,XFL,,,40.0,0.0
SYNTHETIC_XFL_2023_W7_BATTLEHAWKS,,2023,7,XFL,,,59.0,
SYNTHETIC_XFL_2023_W8_BATTLEHAWKS,,2023,8,XFL,,,34.0,1.0
SYNTHETIC_XFL_2023_W9_BATTLEHAWKS,,2023,9,XFL,,,99.0,0.0
SYNTHETIC_XFL_2023_W10_BATTLEHAWKS,,2023,10,XFL,,,35.0,1.0
