game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-PHI-NY,2023-04-29,2023,1,,PHI,NY,,2.0,5.0,4.0,,1.0,,5.0,1.0,54.0,-7.0
2023-05-07-PHI-DC,2023-05-07,2023,2,,PHI,DC,,,6.0,5.0,1.0,1.0,,6.0,1.0,25.0,-2.0
2023-05-13-PHI-BOS,2023-05-13,2023,3,,PHI,BOS,,,1.0,1.0,,1.0,,1.0,,12.0,7.0
2023-05-27-PHI-PIT,2023-05-27,2023,5,,PHI,PIT,1.0,,5.0,4.0,1.0,,,4.0,,25.0,48.0
2023-06-03-CAR-PHI,2023-06-03,2023,6,,CAR,PHI,1.0,1.0,7.0,6.0,,2.0,,7.0,1.0,69.0,71.0
2023-06-10-PHI-TOR,2023-06-10,2023,7,,PHI,TOR,2.0,1.0,4.0,5.0,1.0,2.0,1.0,6.0,1.0,98.0,111.0
2023-06-17-MTL-PHI,2023-06-17,2023,8,,MTL,PHI,1.0,2.0,8.0,8.0,2.0,1.0,1.0,8.0,,94.0,52.0
2023-07-02-PHI-MTL,2023-07-02,2023,10,,PHI,MTL,2.0,2.0,14.0,13.0,1.0,,,14.0,1.0,115.0,31.0
2023-07-07-BOS-PHI,2023-07-07,2023,11,,BOS,PHI,,0.0,4.0,3.0,,,,4.0,1.0,22.0,12.0
2023-07-15-DC-PHI,2023-07-15,2023,12,,DC,PHI,,,1.0,1.0,1.0,,,1.0,,10.0,2.0
2023-07-22-TOR-PHI,2023-07-22,2023,13,,TOR,PHI,,1.0,4.0,2.0,2.0,1.0,,2.0,,82.0,-3.0
