game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-05-TOR-NY,2023-05-05,2023,2,,TOR,NY,,2.0,7.0,6.0,,,,,7.0,,20.0,14.0
2023-05-06-TOR-BOS,2023-05-06,2023,2,,TOR,BOS,1.0,,,,,1.0,,,,1.0,,
2023-05-13-MTL-TOR,2023-05-13,2023,3,,MTL,TOR,,1.0,2.0,2.0,1.0,,,,2.0,,11.0,19.0
2023-05-27-TOR-MTL,2023-05-27,2023,5,,TOR,MTL,,1.0,3.0,2.0,1.0,,,6.0,2.0,,-17.0,27.0
2023-06-10-PHI-TOR,2023-06-10,2023,7,,PHI,TOR,,1.0,2.0,1.0,,,,,2.0,1.0,10.0,11.0
2023-06-17-PIT-TOR,2023-06-17,2023,8,,PIT,TOR,,1.0,,,,,,,,,,
2023-06-25-MTL-TOR,2023-06-25,2023,9,,MTL,TOR,1.0,,,1.0,,,,,1.0,,,6.0
2023-07-01-BOS-TOR,2023-07-01,2023,10,,BOS,TOR,,1.0,1.0,2.0,,,,,2.0,,9.0,-21.0
2023-07-15-TOR-DET,2023-07-15,2023,12,,TOR,DET,1.0,2.0,8.0,6.0,1.0,,1.0,,7.0,1.0,61.0,100.0
2023-07-21-TOR-DC,2023-07-21,2023,13,,TOR,DC,,,6.0,5.0,,,1.0,,6.0,1.0,-4.0,60.0
