game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions
SYNTHETIC_CFL_2025_W1_HAM,,2025,1,CFL,,,0.0,55.0,5.0
SYNTHETIC_CFL_2025_W5_HAM,,2025,5,CFL,,,1.0,1.0,1.0
SYNTHETIC_CFL_2025_W6_HAM,,2025,6,CFL,,,0.0,13.0,1.0
SYNTHETIC_CFL_2025_W7_HAM,,2025,7,CFL,,,0.0,0.0,0.0
SYNTHETIC_CFL_2025_W8_HAM,,2025,8,CFL,,,1.0,63.0,3.0
SYNTHETIC_CFL_2025_W10_HAM,,2025,10,CFL,,,0.0,5.0,1.0
SYNTHETIC_CFL_2025_W11_HAM,,2025,11,CFL,,,0.0,8.0,1.0
SYNTHETIC_CFL_2025_W13_HAM,,2025,13,CFL,,,0.0,5.0,1.0
SYNTHETIC_CFL_2025_W14_HAM,,2025,14,CFL,,,0.0,11.0,1.0
SYNTHETIC_CFL_2025_W15_HAM,,2025,15,CFL,,,0.0,10.0,1.0
SYNTHETIC_CFL_2025_W16_HAM,,2025,16,CFL,,,1.0,32.0,3.0
SYNTHETIC_CFL_2025_W17_HAM,,2025,17,CFL,,,0.0,23.0,3.0
SYNTHETIC_CFL_2025_W18_HAM,,2025,18,CFL,,,2.0,111.0,2.0
