game_id,date,season,week,league,away,home,lost_fumbles,receiving_tds,receiving_yards,receptions
SYNTHETIC_USFL_W6_PIT,,,6,USFL,,,0.0,,,
SYNTHETIC_USFL_W9_PIT,,,9,USFL,,,,1.0,14.0,1.0
