game_id,date,season,week,league,away,home,catches,completions,drops,goals,hockeyAssists,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-06-COL-LA,2023-05-06,2023,2,,COL,LA,52.0,53.0,1.0,2.0,2.0,1.0,56.0,3.0,185.0,169.0
2023-05-12-POR-LA,2023-05-12,2023,3,,POR,LA,4.0,3.0,,1.0,,,3.0,,54.0,26.0
