game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2023_W6_STALLIONS,,2023,6,USFL,,,0.0,13.0,2.0,,
SYNTHETIC_USFL_2023_W11_STALLIONS,,2023,11,USFL,,,1.0,58.0,2.0,,
SYNTHETIC_USFL_2023_W12_STALLIONS,,2023,12,USFL,,,,3.0,1.0,,
SYNTHETIC_CFL_2024_W4_WPG,,2024,4,CFL,,,0.0,29.0,2.0,,
SYNTHETIC_CFL_2024_W5_WPG,,2024,5,CFL,,,0.0,6.0,1.0,,
SYNTHETIC_CFL_2024_W6_WPG,,2024,6,CFL,,,0.0,7.0,1.0,,
SYNTHETIC_CFL_2024_W7_WPG,,2024,7,CFL,,,0.0,32.0,2.0,,
SYNTHETIC_CFL_2024_W8_WPG,,2024,8,CFL,,,0.0,22.0,5.0,,
SYNTHETIC_CFL_2024_W9_WPG,,2024,9,CFL,,,0.0,21.0,5.0,0.0,1.0
SYNTHETIC_CFL_2024_W12_WPG,,2024,12,CFL,,,0.0,21.0,2.0,,
SYNTHETIC_CFL_2024_W13_WPG,,2024,13,CFL,,,,,,0.0,-1.0
SYNTHETIC_CFL_2024_W14_WPG,,2024,14,CFL,,,0.0,0.0,0.0,,
