game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_yards
BILLINGS-OREGON,,,1,,,,1.0,87.0,3.0,-4.0
LIGHTNING-WOLFPACK-MAR22,,,2,,,,1.0,69.0,6.0,-1.0
SYNTHETIC_AF1_2025_W3_OREGON,,2025,3,AF1,,,1.0,45.0,6.0,6.0
SYNTHETIC_AF1_2025_W4_OREGON,,2025,4,AF1,,,,,,-3.0
SYNTHETIC_AF1_2025_W8_OREGON,,2025,8,AF1,,,,51.0,5.0,
SYNTHETIC_AF1_2025_W14_OREGON,,2025,14,AF1,,,,3.0,1.0,
