game_id,date,season,week,league,away,home,1pt_conversion,3pt_pass,conversions,receiving_tds,receiving_yards,receptions
FOOTBALL_XFL_2023_2_18_ORL@HOU,2023-02-18,2023,1,XFL,ORL,HOU,,,,1.0,68.0,5.0
FOOTBALL_XFL_2023_2_26_SA@ORL,2023-02-26,2023,2,XFL,SA,ORL,,,,1.0,21.0,5.0
SYNTHETIC_XFL_2023_W2_GUARDIANS,,2023,2,XFL,,,0.0,,0.0,,,
FOOTBALL_XFL_2023_3_5_ORL@ARL,2023-03-05,2023,3,XFL,ORL,ARL,,,,,66.0,6.0
FOOTBALL_XFL_2023_3_11_HOU@ORL,2023-03-11,2023,4,XFL,HOU,ORL,,,,,57.0,4.0
FOOTBALL_XFL_2023_3_18_ORL@VGS,2023-03-18,2023,5,XFL,ORL,VGS,,,,1.0,124.0,8.0
SYNTHETIC_XFL_2023_W5_GUARDIANS,,2023,5,XFL,,,0.0,,0.0,,,
FOOTBALL_XFL_2023_3_25_SEA@ORL,2023-03-25,2023,6,XFL,SEA,ORL,,,,,59.0,5.0
FOOTBALL_XFL_2023_4_1_DC@ORL,2023-04-01,2023,7,XFL,DC,ORL,,,,1.0,93.0,7.0
SYNTHETIC_XFL_2023_W7_GUARDIANS,,2023,7,XFL,,,0.0,,0.0,,,
FOOTBALL_XFL_2023_4_8_ARL@ORL,2023-04-08,2023,8,XFL,ARL,ORL,,,,,70.0,7.0
FOOTBALL_XFL_2023_4_22_ORL@STL,2023-04-22,2023,10,XFL,ORL,STL,,,,,35.0,3.0
SYNTHETIC_XFL_2023_W10_GUARDIANS,,2023,10,XFL,,,0.0,,0.0,,,
SYNTHETIC_UFL_2024_W1_BRAHMAS,,2024,1,UFL,,,,,,0.0,7.0,1.0
SYNTHETIC_UFL_2024_W2_BRAHMAS,,2024,2,UFL,,,,,,1.0,91.0,8.0
SYNTHETIC_UFL_2024_W3_BRAHMAS,,2024,3,UFL,,,,,,0.0,58.0,7.0
SYNTHETIC_UFL_2024_W4_BRAHMAS,,2024,4,UFL,,,,,,0.0,32.0,5.0
SYNTHETIC_UFL_2024_W5_BRAHMAS,,2024,5,UFL,,,,,,0.0,7.0,1.0
SYNTHETIC_UFL_2024_W6_BRAHMAS,,2024,6,UFL,,,,,,0.0,35.0,6.0
SYNTHETIC_UFL_2024_W7_BRAHMAS,,2024,7,UFL,,,,1.0,,0.0,20.0,1.0
SYNTHETIC_UFL_2024_W8_BRAHMAS,,2024,8,UFL,,,,,,0.0,116.0,6.0
SYNTHETIC_UFL_2024_W9_BRAHMAS,,2024,9,UFL,,,,,,0.0,25.0,1.0
