game_id,date,season,week,league,away,home,conversions,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_W1_TB,,,1,USFL,,,,,0.0,23.0,3.0,,
SYNTHETIC_USFL_W2_TB,,,2,USFL,,,,,0.0,0.0,0.0,,
SYNTHETIC_USFL_W3_TB,,,3,USFL,,,,,0.0,24.0,2.0,,
SYNTHETIC_USFL_W4_TB,,,4,USFL,,,,,0.0,21.0,2.0,,
SYNTHETIC_USFL_W5_TB,,,5,USFL,,,,,0.0,18.0,2.0,,
SYNTHETIC_USFL_W6_TB,,,6,USFL,,,,,0.0,0.0,0.0,,
SYNTHETIC_USFL_W7_TB,,,7,USFL,,,,,0.0,68.0,4.0,,
SYNTHETIC_USFL_W8_TB,,,8,USFL,,,,,0.0,23.0,1.0,,
SYNTHETIC_USFL_W9_TB,,,9,USFL,,,,,0.0,42.0,3.0,0.0,-5.0
SYNTHETIC_USFL_W10_TB,,,10,USFL,,,0.0,,0.0,25.0,2.0,,
SYNTHETIC_USFL_2023_W1_SHOWBOATS,,2023,1,USFL,,,,,0.0,15.0,2.0,,
SYNTHETIC_USFL_2023_W2_SHOWBOATS,,2023,2,USFL,,,,,0.0,42.0,5.0,,
SYNTHETIC_USFL_2023_W3_SHOWBOATS,,2023,3,USFL,,,,,0.0,31.0,2.0,,
SYNTHETIC_USFL_2023_W4_SHOWBOATS,,2023,4,USFL,,,,,0.0,58.0,3.0,,
SYNTHETIC_USFL_2023_W5_SHOWBOATS,,2023,5,USFL,,,,1.0,0.0,62.0,6.0,,
SYNTHETIC_USFL_2023_W6_SHOWBOATS,,2023,6,USFL,,,,,1.0,40.0,3.0,,
SYNTHETIC_USFL_2023_W7_SHOWBOATS,,2023,7,USFL,,,,,1.0,23.0,3.0,,
SYNTHETIC_USFL_2023_W8_SHOWBOATS,,2023,8,USFL,,,,,0.0,36.0,3.0,,
SYNTHETIC_USFL_2023_W9_SHOWBOATS,,2023,9,USFL,,,,,0.0,30.0,4.0,,
SYNTHETIC_USFL_2023_W10_SHOWBOATS,,2023,10,USFL,,,,,1.0,8.0,2.0,,
SYNTHETIC_UFL_2024_W1_SHOWBOATS,,2024,1,UFL,,,,,1.0,36.0,4.0,,
SYNTHETIC_UFL_2024_W2_SHOWBOATS,,2024,2,UFL,,,,,0.0,12.0,1.0,0.0,-5.0
SYNTHETIC_UFL_2024_W3_SHOWBOATS,,2024,3,UFL,,,,,1.0,38.0,3.0,,
SYNTHETIC_UFL_2024_W4_SHOWBOATS,,2024,4,UFL,,,,,1.0,21.0,2.0,,
SYNTHETIC_UFL_2024_W5_SHOWBOATS,,2024,5,UFL,,,,,0.0,33.0,4.0,,
SYNTHETIC_UFL_2024_W6_SHOWBOATS,,2024,6,UFL,,,,,0.0,30.0,4.0,,
SYNTHETIC_UFL_2024_W7_SHOWBOATS,,2024,7,UFL,,,,,1.0,55.0,7.0,,
SYNTHETIC_UFL_2024_W8_SHOWBOATS,,2024,8,UFL,,,,,0.0,25.0,5.0,,
SYNTHETIC_UFL_2024_W9_SHOWBOATS,,2024,9,UFL,,,,,1.0,26.0,3.0,,
SYNTHETIC_UFL_2024_W10_SHOWBOATS,,2024,10,UFL,,,,,0.0,28.0,3.0,,
