game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_tds
SYNTHETIC_USFL_2023_W1_GAMBLERS,,2023,1,USFL,,,0.0,19.0,1.0,
SYNTHETIC_USFL_2023_W2_GAMBLERS,,2023,2,USFL,,,0.0,19.0,1.0,
SYNTHETIC_USFL_2023_W3_GAMBLERS,,2023,3,USFL,,,0.0,6.0,1.0,
SYNTHETIC_USFL_2023_W4_GAMBLERS,,2023,4,USFL,,,1.0,63.0,2.0,1.0
SYNTHETIC_USFL_2023_W5_GAMBLERS,,2023,5,USFL,,,0.0,22.0,2.0,
SYNTHETIC_USFL_2023_W6_GAMBLERS,,2023,6,USFL,,,0.0,0.0,0.0,
SYNTHETIC_USFL_2023_W7_GAMBLERS,,2023,7,USFL,,,0.0,17.0,2.0,
SYNTHETIC_USFL_2023_W8_GAMBLERS,,2023,8,USFL,,,1.0,36.0,2.0,
SYNTHETIC_USFL_2023_W9_GAMBLERS,,2023,9,USFL,,,0.0,9.0,1.0,
SYNTHETIC_USFL_2023_W10_GAMBLERS,,2023,10,USFL,,,0.0,53.0,4.0,
SYNTHETIC_UFL_2024_W1_ROUGHNECKS,,2024,1,UFL,,,0.0,11.0,1.0,
SYNTHETIC_UFL_2024_W2_ROUGHNECKS,,2024,2,UFL,,,1.0,57.0,3.0,
SYNTHETIC_UFL_2024_W3_ROUGHNECKS,,2024,3,UFL,,,0.0,9.0,2.0,
SYNTHETIC_UFL_2024_W4_ROUGHNECKS,,2024,4,UFL,,,0.0,30.0,4.0,
SYNTHETIC_UFL_2024_W5_ROUGHNECKS,,2024,5,UFL,,,0.0,88.0,7.0,
SYNTHETIC_UFL_2024_W6_ROUGHNECKS,,2024,6,UFL,,,0.0,12.0,3.0,
SYNTHETIC_UFL_2024_W7_ROUGHNECKS,,2024,7,UFL,,,0.0,19.0,2.0,
SYNTHETIC_UFL_2024_W8_ROUGHNECKS,,2024,8,UFL,,,0.0,80.0,7.0,
SYNTHETIC_UFL_2024_W9_ROUGHNECKS,,2024,9,UFL,,,0.0,40.0,3.0,
SYNTHETIC_UFL_2024_W10_ROUGHNECKS,,2024,10,UFL,,,0.0,7.0,1.0,
SYNTHETIC_UFL_2025_W1_ROUGHNECKS,,2025,1,UFL,,,0.0,19.0,2.0,
SYNTHETIC_UFL_2025_W2_ROUGHNECKS,,2025,2,UFL,,,0.0,28.0,2.0,
SYNTHETIC_UFL_2025_W3_ROUGHNECKS,,2025,3,UFL,,,0.0,18.0,2.0,
SYNTHETIC_UFL_2025_W4_ROUGHNECKS,,2025,4,UFL,,,0.0,35.0,4.0,
SYNTHETIC_UFL_2025_W5_ROUGHNECKS,,2025,5,UFL,,,0.0,18.0,3.0,
SYNTHETIC_UFL_2025_W6_ROUGHNECKS,,2025,6,UFL,,,0.0,32.0,5.0,
SYNTHETIC_UFL_2025_W7_ROUGHNECKS,,2025,7,UFL,,,1.0,14.0,2.0,
SYNTHETIC_UFL_2025_W8_ROUGHNECKS,,2025,8,UFL,,,1.0,57.0,4.0,
SYNTHETIC_UFL_2025_W9_ROUGHNECKS,,2025,9,UFL,,,2.0,34.0,3.0,
SYNTHETIC_UFL_2025_W10_ROUGHNECKS,,2025,10,UFL,,,0.0,44.0,4.0,
SYNTHETIC_UFL_2026_W1_COLUMBUSAVIATORS,,2026,1,UFL,,,0.0,14.0,2.0,
SYNTHETIC_UFL_2026_W2_COLUMBUSAVIATORS,,2026,2,UFL,,,0.0,9.0,2.0,
SYNTHETIC_UFL_2026_W3_COLUMBUSAVIATORS,,2026,3,UFL,,,0.0,38.0,4.0,
SYNTHETIC_UFL_2026_W4_COLUMBUSAVIATORS,,2026,4,UFL,,,1.0,50.0,4.0,
SYNTHETIC_UFL_2026_W5_COLUMBUSAVIATORS,,2026,5,UFL,,,0.0,7.0,1.0,
SYNTHETIC_UFL_2026_W6_COLUMBUSAVIATORS,,2026,6,UFL,,,0.0,24.0,2.0,
