game_id,date,season,week,league,away,home,1pt_conversion,conversions,lost_fumbles,receiving_yards,receptions,rushing_tds,rushing_yards
FOOTBALL_XFL_2023_2_18_ORL@HOU,2023-02-18,2023,1,XFL,ORL,HOU,,,,1.0,1.0,,41.0
FOOTBALL_XFL_2023_2_26_SA@ORL,2023-02-26,2023,2,XFL,SA,ORL,,,,,2.0,,46.0
SYNTHETIC_XFL_2023_W2_GUARDIANS,,2023,2,XFL,,,0.0,0.0,,,,,
FOOTBALL_XFL_2023_3_5_ORL@ARL,2023-03-05,2023,3,XFL,ORL,ARL,,,2.0,7.0,1.0,,9.0
FOOTBALL_XFL_2023_3_11_HOU@ORL,2023-03-11,2023,4,XFL,HOU,ORL,,,,,,,20.0
FOOTBALL_XFL_2023_3_18_ORL@VGS,2023-03-18,2023,5,XFL,ORL,VGS,,,,,,1.0,36.0
SYNTHETIC_XFL_2023_W5_GUARDIANS,,2023,5,XFL,,,1.0,0.0,,,,,
FOOTBALL_XFL_2023_3_25_SEA@ORL,2023-03-25,2023,6,XFL,SEA,ORL,,,,11.0,1.0,,37.0
FOOTBALL_XFL_2023_4_1_DC@ORL,2023-04-01,2023,7,XFL,DC,ORL,,,,-3.0,1.0,,52.0
SYNTHETIC_XFL_2023_W7_GUARDIANS,,2023,7,XFL,,,1.0,0.0,,,,,
FOOTBALL_XFL_2023_4_8_ARL@ORL,2023-04-08,2023,8,XFL,ARL,ORL,,,,,,,11.0
SYNTHETIC_XFL_2023_W8_GUARDIANS,,2023,8,XFL,,,1.0,0.0,,,,,
FOOTBALL_XFL_2023_4_22_ORL@STL,2023-04-22,2023,10,XFL,ORL,STL,,,,-6.0,1.0,,6.0
