game_id,date,season,week,league,away,home,1pt_conversion,lost_fumbles,punt_return,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2023_W1_STALLIONS,,2023,1,USFL,,,,,,0.0,8.0,1.0,,
SYNTHETIC_USFL_2023_W2_STALLIONS,,2023,2,USFL,,,,,,0.0,27.0,2.0,,
SYNTHETIC_USFL_2023_W3_STALLIONS,,2023,3,USFL,,,,,1.0,0.0,0.0,0.0,,
SYNTHETIC_USFL_2023_W4_STALLIONS,,2023,4,USFL,,,,,1.0,0.0,0.0,0.0,,
SYNTHETIC_USFL_2023_W7_STALLIONS,,2023,7,USFL,,,,,,0.0,16.0,1.0,,
SYNTHETIC_USFL_2023_W8_STALLIONS,,2023,8,USFL,,,,,,0.0,51.0,6.0,,
SYNTHETIC_USFL_2023_W9_STALLIONS,,2023,9,USFL,,,,1.0,,1.0,38.0,1.0,,
SYNTHETIC_USFL_2023_W10_STALLIONS,,2023,10,USFL,,,,,,1.0,42.0,5.0,,
SYNTHETIC_USFL_2023_W11_STALLIONS,,2023,11,USFL,,,,,,,74.0,8.0,,
SYNTHETIC_USFL_2023_W12_STALLIONS,,2023,12,USFL,,,,,,3.0,70.0,4.0,,
SYNTHETIC_UFL_2024_W1_STALLIONS,,2024,1,UFL,,,,,,1.0,66.0,3.0,,
SYNTHETIC_UFL_2024_W2_STALLIONS,,2024,2,UFL,,,,,,0.0,30.0,3.0,,
SYNTHETIC_UFL_2024_W3_STALLIONS,,2024,3,UFL,,,,,,0.0,144.0,7.0,,
SYNTHETIC_UFL_2024_W4_STALLIONS,,2024,4,UFL,,,,,,0.0,24.0,3.0,,
SYNTHETIC_UFL_2024_W5_STALLIONS,,2024,5,UFL,,,,,,0.0,33.0,3.0,,
SYNTHETIC_UFL_2024_W6_STALLIONS,,2024,6,UFL,,,,,,0.0,45.0,2.0,,
SYNTHETIC_UFL_2024_W7_STALLIONS,,2024,7,UFL,,,,,,1.0,29.0,4.0,,
SYNTHETIC_UFL_2024_W8_STALLIONS,,2024,8,UFL,,,,,,1.0,29.0,4.0,0.0,10.0
SYNTHETIC_UFL_2024_W9_STALLIONS,,2024,9,UFL,,,,,,0.0,22.0,2.0,,
SYNTHETIC_UFL_2024_W10_STALLIONS,,2024,10,UFL,,,,,,0.0,14.0,2.0,,
SYNTHETIC_UFL_2024_W11_STALLIONS,,2024,11,UFL,,,,,,0.0,19.0,3.0,,
SYNTHETIC_UFL_2024_W12_STALLIONS,,2024,12,UFL,,,,,,0.0,6.0,1.0,,
SYNTHETIC_UFL_2025_W1_STALLIONS,,2025,1,UFL,,,,,,0.0,9.0,2.0,,
SYNTHETIC_UFL_2025_W2_STALLIONS,,2025,2,UFL,,,,,,1.0,84.0,4.0,,
SYNTHETIC_UFL_2025_W4_STALLIONS,,2025,4,UFL,,,,1.0,,1.0,69.0,3.0,,
SYNTHETIC_UFL_2025_W5_STALLIONS,,2025,5,UFL,,,,,,0.0,50.0,5.0,,
SYNTHETIC_UFL_2025_W6_STALLIONS,,2025,6,UFL,,,,,,0.0,46.0,2.0,,
SYNTHETIC_UFL_2025_W7_STALLIONS,,2025,7,UFL,,,,,,0.0,63.0,5.0,,
SYNTHETIC_UFL_2025_W8_STALLIONS,,2025,8,UFL,,,1.0,,,2.0,115.0,2.0,,
SYNTHETIC_UFL_2025_W9_STALLIONS,,2025,9,UFL,,,,,,2.0,55.0,4.0,,
SYNTHETIC_UFL_2025_W10_STALLIONS,,2025,10,UFL,,,,,,0.0,23.0,2.0,,
SYNTHETIC_UFL_2026_W1_BIRMINGHAMSTALLIONS,,2026,1,UFL,,,,,,0.0,14.0,2.0,,
SYNTHETIC_UFL_2026_W2_BIRMINGHAMSTALLIONS,,2026,2,UFL,,,,,,1.0,40.0,5.0,,
SYNTHETIC_UFL_2026_W3_BIRMINGHAMSTALLIONS,,2026,3,UFL,,,,,,1.0,116.0,3.0,,
SYNTHETIC_UFL_2026_W4_BIRMINGHAMSTALLIONS,,2026,4,UFL,,,,,,0.0,12.0,3.0,,
SYNTHETIC_UFL_2026_W5_BIRMINGHAMSTALLIONS,,2026,5,UFL,,,,,,1.0,57.0,5.0,,
