game_id,date,season,week,league,away,home,fumble_recoveries,pass_defended,tackles
FOOTBALL_XFL_2023_2_23_STL@SEA,2023-02-23,2023,2,XFL,STL,SEA,,1.0,1.0
FOOTBALL_XFL_2023_3_25_SEA@ORL,2023-03-25,2023,6,XFL,SEA,ORL,1.0,,5.0
