game_id,date,season,week,league,away,home,lost_fumbles,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_W1_NJ,,,1,USFL,,,,,,,,,0.0,66.0
SYNTHETIC_USFL_W2_NJ,,,2,USFL,,,1.0,,,,,,1.0,40.0
SYNTHETIC_USFL_W3_NJ,,,3,USFL,,,,,,0.0,31.0,3.0,2.0,51.0
SYNTHETIC_USFL_W4_NJ,,,4,USFL,,,,,,0.0,21.0,3.0,1.0,57.0
SYNTHETIC_USFL_W5_NJ,,,5,USFL,,,,,,0.0,12.0,1.0,1.0,95.0
SYNTHETIC_USFL_W6_NJ,,,6,USFL,,,,,,0.0,4.0,1.0,0.0,57.0
SYNTHETIC_USFL_W7_NJ,,,7,USFL,,,,,,0.0,19.0,3.0,1.0,
SYNTHETIC_USFL_W8_NJ,,,8,USFL,,,,,,0.0,19.0,1.0,3.0,87.0
SYNTHETIC_USFL_W9_NJ,,,9,USFL,,,0.0,,,0.0,5.0,2.0,0.0,19.0
SYNTHETIC_USFL_W10_NJ,,,10,USFL,,,,,,1.0,2.0,1.0,0.0,34.0
SYNTHETIC_USFL_W11_NJ,,,11,USFL,,,,,,,,,1.0,64.0
SYNTHETIC_USFL_2023_W1_GENERALS,,2023,1,USFL,,,,,,0.0,0.0,0.0,0.0,84.0
SYNTHETIC_USFL_2023_W2_GENERALS,,2023,2,USFL,,,,,,0.0,0.0,1.0,1.0,71.0
SYNTHETIC_USFL_2023_W3_GENERALS,,2023,3,USFL,,,,,,1.0,51.0,1.0,1.0,68.0
SYNTHETIC_USFL_2023_W4_GENERALS,,2023,4,USFL,,,1.0,,,0.0,-1.0,1.0,0.0,64.0
SYNTHETIC_USFL_2023_W5_GENERALS,,2023,5,USFL,,,3.0,,,0.0,25.0,2.0,0.0,49.0
SYNTHETIC_USFL_2023_W6_GENERALS,,2023,6,USFL,,,,,,0.0,9.0,1.0,0.0,38.0
SYNTHETIC_USFL_2023_W7_GENERALS,,2023,7,USFL,,,,,,1.0,29.0,4.0,0.0,52.0
SYNTHETIC_USFL_2023_W8_GENERALS,,2023,8,USFL,,,,,,1.0,39.0,6.0,0.0,26.0
SYNTHETIC_USFL_2023_W9_GENERALS,,2023,9,USFL,,,,1.0,1.0,0.0,12.0,1.0,2.0,51.0
SYNTHETIC_USFL_2023_W10_GENERALS,,2023,10,USFL,,,,,,0.0,25.0,2.0,0.0,48.0
SYNTHETIC_UFL_2024_W1_SHOWBOATS,,2024,1,UFL,,,1.0,,,0.0,33.0,5.0,0.0,3.0
SYNTHETIC_UFL_2024_W2_SHOWBOATS,,2024,2,UFL,,,,,,0.0,11.0,2.0,0.0,54.0
SYNTHETIC_UFL_2024_W3_SHOWBOATS,,2024,3,UFL,,,,,,0.0,25.0,3.0,0.0,-1.0
SYNTHETIC_UFL_2024_W4_SHOWBOATS,,2024,4,UFL,,,,,,0.0,16.0,3.0,1.0,58.0
SYNTHETIC_UFL_2024_W5_SHOWBOATS,,2024,5,UFL,,,,,,0.0,11.0,3.0,0.0,17.0
SYNTHETIC_UFL_2024_W6_SHOWBOATS,,2024,6,UFL,,,,,,0.0,9.0,3.0,0.0,42.0
SYNTHETIC_UFL_2024_W7_SHOWBOATS,,2024,7,UFL,,,,,,0.0,8.0,1.0,0.0,33.0
SYNTHETIC_UFL_2024_W8_SHOWBOATS,,2024,8,UFL,,,,,,0.0,14.0,3.0,0.0,33.0
SYNTHETIC_UFL_2024_W9_SHOWBOATS,,2024,9,UFL,,,,,,0.0,3.0,2.0,1.0,98.0
SYNTHETIC_UFL_2024_W10_SHOWBOATS,,2024,10,UFL,,,,,,0.0,9.0,2.0,2.0,54.0
