game_id,date,season,week,league,away,home,assists,blk,blocks,cto,drops,goals,lb,pim,sog,throwaways,to,yardsReceived,yardsThrown
703328545,,,1,,,,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,,0.0,,
2026-04-25-ATL-ATX,2026-04-25,2026,1,,ATL,ATX,0.0,,0.0,,0.0,1.0,,,,0.0,,3.0,0.0
