game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-05-COL-SD,2023-05-05,2023,2,,COL,SD,1.0,2.0,14.0,15.0,1.0,,,15.0,,21.0,50.0
2023-05-06-COL-LA,2023-05-06,2023,2,,COL,LA,,,,,,3.0,,,,,
2023-05-13-SEA-COL,2023-05-13,2023,3,,SEA,COL,2.0,,31.0,30.0,,2.0,,31.0,1.0,75.0,112.0
2023-05-20-LA-COL,2023-05-20,2023,4,,LA,COL,,,25.0,24.0,,2.0,,26.0,2.0,85.0,64.0
2023-06-04-OAK-COL,2023-06-04,2023,6,,OAK,COL,5.0,,21.0,21.0,2.0,4.0,1.0,21.0,,155.0,162.0
2023-06-09-SLC-COL,2023-06-09,2023,7,,SLC,COL,3.0,,24.0,22.0,1.0,1.0,2.0,23.0,1.0,209.0,118.0
2023-06-16-COL-SLC,2023-06-16,2023,8,,COL,SLC,2.0,,35.0,31.0,1.0,3.0,,34.0,3.0,166.0,107.0
2023-06-17-COL-OAK,2023-06-17,2023,8,,COL,OAK,,1.0,,,,,,,,,
2023-06-24-MIN-COL,2023-06-24,2023,9,,MIN,COL,,,25.0,22.0,1.0,1.0,,24.0,1.0,257.0,24.0
2023-06-30-COL-POR,2023-06-30,2023,10,,COL,POR,0.0,,17.0,15.0,1.0,1.0,1.0,16.0,,79.0,96.0
2023-07-14-NY-COL,2023-07-14,2023,12,,NY,COL,,,23.0,21.0,,1.0,,23.0,1.0,60.0,132.0
