game_id,date,season,week,league,away,home,assists,blocks,callahans,catches,completions,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-ATX-HTX,2023-04-29,2023,1,,ATX,HTX,2.0,1.0,,7.0,7.0,1.0,1.0,1.0,2.0,7.0,,82.0,67.0
2023-05-06-DAL-ATX,2023-05-06,2023,2,,DAL,ATX,3.0,1.0,,10.0,10.0,2.0,,2.0,3.0,10.0,,93.0,125.0
2023-05-12-ATX-ATL,2023-05-12,2023,3,,ATX,ATL,,,,3.0,3.0,1.0,,,2.0,4.0,,38.0,8.0
2023-05-13-ATX-CAR,2023-05-13,2023,3,,ATX,CAR,,,,,,,,,,,1.0,,
2023-05-20-SD-ATX,2023-05-20,2023,4,,SD,ATX,,,,8.0,6.0,2.0,,,3.0,6.0,,40.0,1.0
2023-05-28-ATX-DAL,2023-05-28,2023,5,,ATX,DAL,3.0,1.0,,13.0,15.0,1.0,,1.0,1.0,17.0,2.0,231.0,170.0
2023-06-02-HTX-ATX,2023-06-02,2023,6,,HTX,ATX,1.0,1.0,,7.0,6.0,,,,,8.0,2.0,69.0,59.0
2023-06-10-CAR-ATX,2023-06-10,2023,7,,CAR,ATX,1.0,1.0,,5.0,4.0,,,,,5.0,1.0,59.0,16.0
2023-06-17-ATX-HTX,2023-06-17,2023,8,,ATX,HTX,,1.0,,13.0,12.0,2.0,,,,13.0,1.0,113.0,116.0
2023-07-01-DAL-ATX,2023-07-01,2023,10,,DAL,ATX,2.0,2.0,1.0,14.0,14.0,2.0,1.0,,8.0,15.0,1.0,72.0,175.0
2023-07-07-HTX-ATX,2023-07-07,2023,11,,HTX,ATX,,,,8.0,10.0,,,,4.0,11.0,1.0,29.0,99.0
2023-07-08-ATX-DAL,2023-07-08,2023,11,,ATX,DAL,2.0,,,,,,,,,,,,
