game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-MAD-PIT,2023-04-29,2023,1,,MAD,PIT,2.0,,26.0,25.0,1.0,1.0,2.0,27.0,2.0,130.0,303.0
2023-05-20-MAD-IND,2023-05-20,2023,4,,MAD,IND,1.0,,37.0,35.0,,1.0,,37.0,2.0,212.0,124.0
2023-05-27-CHI-MAD,2023-05-27,2023,5,,CHI,MAD,,,22.0,21.0,,,,22.0,1.0,113.0,80.0
2023-06-04-PIT-MAD,2023-06-04,2023,6,,PIT,MAD,,,20.0,20.0,1.0,2.0,2.0,22.0,2.0,131.0,228.0
2023-06-10-MAD-MIN,2023-06-10,2023,7,,MAD,MIN,2.0,1.0,23.0,24.0,1.0,1.0,,24.0,,99.0,149.0
2023-06-17-MIN-MAD,2023-06-17,2023,8,,MIN,MAD,1.0,,21.0,18.0,,1.0,,21.0,3.0,89.0,188.0
2023-06-23-IND-MAD,2023-06-23,2023,9,,IND,MAD,3.0,,36.0,33.0,2.0,2.0,,35.0,2.0,239.0,104.0
2023-07-01-MAD-IND,2023-07-01,2023,10,,MAD,IND,5.0,,46.0,46.0,1.0,2.0,1.0,50.0,3.0,271.0,241.0
2023-07-07-MIN-MAD,2023-07-07,2023,11,,MIN,MAD,1.0,,15.0,16.0,,0.0,,17.0,1.0,35.0,116.0
2023-07-21-MAD-CHI,2023-07-21,2023,13,,MAD,CHI,1.0,,15.0,17.0,3.0,,,18.0,1.0,168.0,-5.0
