game_id,date,season,week,league,away,home,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-PHI-NY,2023-04-29,2023,1,,PHI,NY,,,,7.0,5.0,,1.0,,,,6.0,1.0,54.0,-35.0
2023-05-07-PHI-DC,2023-05-07,2023,2,,PHI,DC,1.0,1.0,1.0,19.0,15.0,,5.0,1.0,1.0,,15.0,,235.0,43.0
2023-05-13-PHI-BOS,2023-05-13,2023,3,,PHI,BOS,,1.0,,7.0,4.0,,2.0,,,,5.0,1.0,50.0,23.0
2023-05-20-NY-PHI,2023-05-20,2023,4,,NY,PHI,1.0,,,22.0,14.0,,7.0,3.0,,,15.0,1.0,371.0,47.0
2023-06-03-CAR-PHI,2023-06-03,2023,6,,CAR,PHI,1.0,,,19.0,14.0,,4.0,,,,14.0,,185.0,28.0
2023-06-10-PHI-TOR,2023-06-10,2023,7,,PHI,TOR,2.0,,,17.0,14.0,,2.0,1.0,3.0,,15.0,1.0,122.0,240.0
2023-06-17-MTL-PHI,2023-06-17,2023,8,,MTL,PHI,,1.0,,16.0,12.0,1.0,4.0,1.0,,,12.0,,91.0,7.0
2023-07-02-PHI-MTL,2023-07-02,2023,10,,PHI,MTL,,,,11.0,10.0,,1.0,1.0,,,10.0,,54.0,30.0
2023-07-07-BOS-PHI,2023-07-07,2023,11,,BOS,PHI,2.0,,,27.0,24.0,,3.0,1.0,1.0,1.0,24.0,,234.0,99.0
2023-07-15-DC-PHI,2023-07-15,2023,12,,DC,PHI,,2.0,,41.0,35.0,1.0,4.0,3.0,,,38.0,3.0,332.0,49.0
2023-07-22-TOR-PHI,2023-07-22,2023,13,,TOR,PHI,,1.0,,23.0,17.0,,7.0,3.0,,,17.0,,497.0,-68.0
