game_id,date,season,week,league,away,home,assists,catches,completions,drops,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-13-PIT-DET,2023-05-13,2023,3,,PIT,DET,,10.0,8.0,,,,,10.0,1.0,107.0,65.0
2023-05-27-MIN-DET,2023-05-27,2023,5,,MIN,DET,2.0,25.0,20.0,,3.0,,,23.0,2.0,111.0,170.0
2023-06-03-IND-DET,2023-06-03,2023,6,,IND,DET,4.0,43.0,39.0,,,3.0,,45.0,6.0,244.0,188.0
2023-06-11-DET-PIT,2023-06-11,2023,7,,DET,PIT,1.0,20.0,22.0,,2.0,4.0,,23.0,1.0,92.0,178.0
2023-06-17-DET-IND,2023-06-17,2023,8,,DET,IND,4.0,34.0,31.0,,2.0,4.0,1.0,32.0,1.0,377.0,213.0
2023-06-23-DET-CHI,2023-06-23,2023,9,,DET,CHI,2.0,31.0,30.0,,1.0,1.0,,32.0,1.0,283.0,229.0
2023-06-24-CHI-DET,2023-06-24,2023,9,,CHI,DET,,,,,,,1.0,,,,
2023-06-30-DET-PIT,2023-06-30,2023,10,,DET,PIT,2.0,39.0,42.0,,1.0,1.0,,44.0,2.0,125.0,232.0
2023-07-08-MAD-DET,2023-07-08,2023,11,,MAD,DET,4.0,60.0,61.0,1.0,2.0,,,64.0,3.0,266.0,297.0
2023-07-22-DET-MAD,2023-07-22,2023,13,,DET,MAD,,41.0,34.0,,3.0,4.0,,39.0,5.0,154.0,140.0
