game_id,date,season,week,league,away,home,dst_touchdown,fumble_recoveries,interceptions_made,points_against,sacks
SYNTHETIC_USFL_2023_W1_GENERALS,,2023,1,USFL,,,,,1.0,27.0,1.0
SYNTHETIC_USFL_2023_W2_GENERALS,,2023,2,USFL,,,,2.0,1.0,3.0,5.0
SYNTHETIC_USFL_2023_W3_GENERALS,,2023,3,USFL,,,,,1.0,13.0,2.0
SYNTHETIC_USFL_2023_W4_GENERALS,,2023,4,USFL,,,,,1.0,20.0,4.0
SYNTHETIC_USFL_2023_W5_GENERALS,,2023,5,USFL,,,,,0.0,24.0,4.0
SYNTHETIC_USFL_2023_W6_GENERALS,,2023,6,USFL,,,,,0.0,16.0,0.0
SYNTHETIC_USFL_2023_W7_GENERALS,,2023,7,USFL,,,,,0.0,25.0,1.0
SYNTHETIC_USFL_2023_W8_GENERALS,,2023,8,USFL,,,,1.0,1.0,25.0,1.0
SYNTHETIC_USFL_2023_W9_GENERALS,,2023,9,USFL,,,1.0,3.0,0.0,33.0,4.0
SYNTHETIC_USFL_2023_W10_GENERALS,,2023,10,USFL,,,,1.0,0.0,20.0,3.0
