game_id,date,season,week,league,away,home,1pt_conversion,3pt_pass,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,receiving_yards,rushing_tds,rushing_yards
SYNTHETIC_USFL_2023_W1_SHOWBOATS,,2023,1,USFL,,,,,,1.0,,2.0,198.0,,,29.0
SYNTHETIC_USFL_2023_W2_SHOWBOATS,,2023,2,USFL,,,,,,1.0,,0.0,139.0,,0.0,0.0
SYNTHETIC_USFL_2023_W3_SHOWBOATS,,2023,3,USFL,,,,,,1.0,,3.0,308.0,,0.0,15.0
SYNTHETIC_USFL_2023_W4_SHOWBOATS,,2023,4,USFL,,,,,,0.0,,0.0,151.0,,2.0,27.0
SYNTHETIC_USFL_2023_W5_SHOWBOATS,,2023,5,USFL,,,,,1.0,1.0,,1.0,224.0,-13.0,0.0,5.0
SYNTHETIC_USFL_2023_W6_SHOWBOATS,,2023,6,USFL,,,,,,0.0,,1.0,135.0,,0.0,21.0
SYNTHETIC_USFL_2023_W7_SHOWBOATS,,2023,7,USFL,,,,,,1.0,1.0,2.0,146.0,,0.0,0.0
SYNTHETIC_USFL_2023_W8_SHOWBOATS,,2023,8,USFL,,,,,,1.0,,0.0,176.0,,0.0,24.0
SYNTHETIC_USFL_2023_W9_SHOWBOATS,,2023,9,USFL,,,,,,2.0,,0.0,224.0,,0.0,18.0
SYNTHETIC_USFL_2023_W10_SHOWBOATS,,2023,10,USFL,,,,,,1.0,,1.0,154.0,,0.0,9.0
SYNTHETIC_UFL_2024_W1_SHOWBOATS,,2024,1,UFL,,,,,,1.0,,1.0,204.0,,0.0,16.0
SYNTHETIC_UFL_2024_W2_SHOWBOATS,,2024,2,UFL,,,1.0,,,0.0,1.0,1.0,194.0,,0.0,58.0
SYNTHETIC_UFL_2024_W3_SHOWBOATS,,2024,3,UFL,,,,,,1.0,,1.0,239.0,,0.0,3.0
SYNTHETIC_UFL_2024_W4_SHOWBOATS,,2024,4,UFL,,,,,1.0,1.0,,1.0,92.0,,0.0,2.0
SYNTHETIC_UFL_2024_W5_SHOWBOATS,,2024,5,UFL,,,,,,2.0,1.0,3.0,248.0,,0.0,24.0
SYNTHETIC_UFL_2024_W6_SHOWBOATS,,2024,6,UFL,,,,1.0,,1.0,2.0,2.0,180.0,,0.0,15.0
SYNTHETIC_UFL_2024_W7_SHOWBOATS,,2024,7,UFL,,,,,1.0,2.0,2.0,2.0,230.0,,1.0,34.0
SYNTHETIC_UFL_2024_W8_SHOWBOATS,,2024,8,UFL,,,,,,1.0,,2.0,235.0,,0.0,5.0
SYNTHETIC_UFL_2024_W9_SHOWBOATS,,2024,9,UFL,,,1.0,,1.0,2.0,,1.0,120.0,,1.0,9.0
SYNTHETIC_UFL_2024_W10_SHOWBOATS,,2024,10,UFL,,,1.0,,,1.0,,0.0,152.0,,0.0,4.0
SYNTHETIC_UFL_2025_W1_SHOWBOATS,,2025,1,UFL,,,,,,2.0,,1.0,197.0,,0.0,7.0
SYNTHETIC_UFL_2025_W2_SHOWBOATS,,2025,2,UFL,,,,,,1.0,,0.0,194.0,,1.0,26.0
SYNTHETIC_UFL_2025_W3_SHOWBOATS,,2025,3,UFL,,,,,1.0,2.0,,1.0,194.0,,1.0,41.0
SYNTHETIC_UFL_2025_W4_SHOWBOATS,,2025,4,UFL,,,,,,1.0,,0.0,87.0,,0.0,34.0
SYNTHETIC_UFL_2025_W5_SHOWBOATS,,2025,5,UFL,,,,,1.0,0.0,,1.0,235.0,,0.0,11.0
SYNTHETIC_UFL_2025_W6_SHOWBOATS,,2025,6,UFL,,,,,1.0,1.0,1.0,1.0,214.0,,1.0,16.0
SYNTHETIC_UFL_2025_W7_SHOWBOATS,,2025,7,UFL,,,,,,0.0,1.0,1.0,196.0,,0.0,8.0
SYNTHETIC_UFL_2025_W8_SHOWBOATS,,2025,8,UFL,,,,,3.0,0.0,,0.0,36.0,,0.0,29.0
SYNTHETIC_UFL_2025_W9_SHOWBOATS,,2025,9,UFL,,,,,,1.0,1.0,0.0,172.0,,0.0,4.0
SYNTHETIC_UFL_2025_W10_SHOWBOATS,,2025,10,UFL,,,,,,2.0,,0.0,127.0,,0.0,22.0
