game_id,date,season,week,league,away,home,1pt_conversion,3pt_pass,conversions,lost_fumbles,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
FOOTBALL_XFL_2023_2_19_SEA@DC,2023-02-19,2023,1,XFL,SEA,DC,,,,,,,,51.0,8.0,,
FOOTBALL_XFL_2023_2_23_STL@SEA,2023-02-23,2023,2,XFL,STL,SEA,,,,,,,,26.0,5.0,,
FOOTBALL_XFL_2023_3_4_SEA@VGS,2023-03-04,2023,3,XFL,SEA,VGS,,,,,,,1.0,44.0,5.0,,
FOOTBALL_XFL_2023_3_11_SA@SEA,2023-03-11,2023,4,XFL,SA,SEA,,,,,,,,59.0,5.0,,
FOOTBALL_XFL_2023_3_16_HOU@SEA,2023-03-16,2023,5,XFL,HOU,SEA,,,,,,,,1.0,1.0,,
FOOTBALL_XFL_2023_3_25_SEA@ORL,2023-03-25,2023,6,XFL,SEA,ORL,,,,,,,1.0,79.0,6.0,,
FOOTBALL_XFL_2023_3_31_SEA@ARL,2023-03-31,2023,7,XFL,SEA,ARL,,,,,,,,68.0,4.0,,
FOOTBALL_XFL_2023_4_9_DC@SEA,2023-04-09,2023,8,XFL,DC,SEA,,,,,,,,53.0,4.0,,
SYNTHETIC_XFL_2023_W8_SEADRAGONS,,2023,8,XFL,,,1.0,1.0,0.0,,,,,,,,
FOOTBALL_XFL_2023_4_16_SEA@STL,2023-04-16,2023,9,XFL,SEA,STL,,,,,,,,15.0,2.0,,
FOOTBALL_XFL_2023_4_23_VGS@SEA,2023-04-23,2023,10,XFL,VGS,SEA,,,,,,,,44.0,5.0,,
SYNTHETIC_XFL_2023_W10_SEADRAGONS,,2023,10,XFL,,,0.0,,1.0,,,,,,,,
SYNTHETIC_UFL_2024_W1_BATTLEHAWKS,,2024,1,UFL,,,,,,,,,0.0,14.0,2.0,0.0,5.0
SYNTHETIC_UFL_2024_W2_BATTLEHAWKS,,2024,2,UFL,,,,,,,,,0.0,3.0,1.0,,
SYNTHETIC_UFL_2024_W3_BATTLEHAWKS,,2024,3,UFL,,,,,,,,,0.0,0.0,0.0,,
SYNTHETIC_UFL_2024_W4_BATTLEHAWKS,,2024,4,UFL,,,,,,,,,0.0,-6.0,2.0,0.0,-4.0
SYNTHETIC_UFL_2024_W6_BATTLEHAWKS,,2024,6,UFL,,,,,,,,,0.0,4.0,1.0,,
SYNTHETIC_UFL_2024_W9_BATTLEHAWKS,,2024,9,UFL,,,,,,1.0,,,0.0,5.0,1.0,,
SYNTHETIC_UFL_2025_W1_BATTLEHAWKS,,2025,1,UFL,,,,,,,,,0.0,0.0,0.0,0.0,5.0
SYNTHETIC_UFL_2025_W2_BATTLEHAWKS,,2025,2,UFL,,,,,,,,,0.0,26.0,1.0,0.0,-2.0
SYNTHETIC_UFL_2025_W4_BATTLEHAWKS,,2025,4,UFL,,,,,,,,,,,,0.0,18.0
SYNTHETIC_UFL_2025_W5_BATTLEHAWKS,,2025,5,UFL,,,,,,,1.0,57.0,0.0,16.0,2.0,,
SYNTHETIC_UFL_2025_W6_BATTLEHAWKS,,2025,6,UFL,,,,,,,,,0.0,31.0,3.0,0.0,5.0
SYNTHETIC_UFL_2025_W7_BATTLEHAWKS,,2025,7,UFL,,,,,,,,,0.0,9.0,2.0,,
SYNTHETIC_UFL_2025_W8_BATTLEHAWKS,,2025,8,UFL,,,,,,,,,0.0,36.0,2.0,,
SYNTHETIC_UFL_2025_W9_BATTLEHAWKS,,2025,9,UFL,,,,,,,,,0.0,42.0,2.0,,
SYNTHETIC_UFL_2025_W10_BATTLEHAWKS,,2025,10,UFL,,,,,,,,,0.0,34.0,2.0,,
SYNTHETIC_UFL_2026_W1_ST.LOUISBATTLEHAWKS,,2026,1,UFL,,,,,,,,,0.0,6.0,1.0,,
SYNTHETIC_UFL_2026_W2_ST.LOUISBATTLEHAWKS,,2026,2,UFL,,,,,,,,,0.0,24.0,5.0,,
SYNTHETIC_UFL_2026_W3_ST.LOUISBATTLEHAWKS,,2026,3,UFL,,,,,,,,,0.0,0.0,0.0,,
SYNTHETIC_UFL_2026_W4_ST.LOUISBATTLEHAWKS,,2026,4,UFL,,,,,,,,,0.0,15.0,2.0,,
SYNTHETIC_UFL_2026_W5_ST.LOUISBATTLEHAWKS,,2026,5,UFL,,,,,,,,,0.0,33.0,4.0,0.0,7.0
SYNTHETIC_UFL_2026_W6_ST.LOUISBATTLEHAWKS,,2026,6,UFL,,,,,,,,,0.0,43.0,3.0,,
