game_id,date,season,week,league,away,home,interceptions_lost,passing_tds,passing_yards,rushing_tds,rushing_yards,tackles
SYNTHETIC_CFL_W6_EDM,,,6,CFL,,,1.0,1.0,230.0,0.0,20.0,
SYNTHETIC_CFL_W7_EDM,,,7,CFL,,,1.0,0.0,270.0,0.0,59.0,
SYNTHETIC_CFL_W9_EDM,,,9,CFL,,,1.0,1.0,183.0,0.0,13.0,
SYNTHETIC_CFL_W10_EDM,,,10,CFL,,,1.0,0.0,209.0,2.0,86.0,
SYNTHETIC_CFL_W11_EDM,,,11,CFL,,,0.0,2.0,208.0,0.0,47.0,
SYNTHETIC_CFL_W15_EDM,,,15,CFL,,,0.0,1.0,237.0,1.0,93.0,
SYNTHETIC_CFL_W17_EDM,,,17,CFL,,,2.0,0.0,273.0,1.0,23.0,
SYNTHETIC_CFL_W18_EDM,,,18,CFL,,,0.0,1.0,137.0,0.0,44.0,
SYNTHETIC_CFL_W19_EDM,,,19,CFL,,,1.0,1.0,185.0,0.0,51.0,
SYNTHETIC_CFL_2023_W1_EDM,,2023,1,CFL,,,2.0,1.0,202.0,0.0,14.0,
SYNTHETIC_CFL_2023_W2_EDM,,2023,2,CFL,,,0.0,0.0,103.0,,8.0,0.0
SYNTHETIC_CFL_2023_W3_EDM,,2023,3,CFL,,,0.0,1.0,135.0,0.0,28.0,
SYNTHETIC_CFL_2023_W5_EDM,,2023,5,CFL,,,1.0,1.0,226.0,1.0,58.0,
SYNTHETIC_CFL_2023_W6_EDM,,2023,6,CFL,,,2.0,1.0,177.0,0.0,14.0,
SYNTHETIC_CFL_2023_W7_EDM,,2023,7,CFL,,,2.0,1.0,220.0,0.0,57.0,
SYNTHETIC_CFL_2023_W8_EDM,,2023,8,CFL,,,2.0,0.0,187.0,0.0,22.0,
SYNTHETIC_CFL_2023_W10_EDM,,2023,10,CFL,,,,,,0.0,2.0,
SYNTHETIC_CFL_2023_W11_EDM,,2023,11,CFL,,,0.0,0.0,45.0,1.0,4.0,
SYNTHETIC_CFL_2023_W12_EDM,,2023,12,CFL,,,,,,1.0,5.0,
SYNTHETIC_CFL_2023_W13_EDM,,2023,13,CFL,,,,,,1.0,8.0,
SYNTHETIC_CFL_2023_W14_EDM,,2023,14,CFL,,,,,,1.0,1.0,
SYNTHETIC_CFL_2023_W15_EDM,,2023,15,CFL,,,0.0,1.0,10.0,0.0,4.0,
SYNTHETIC_CFL_2023_W16_EDM,,2023,16,CFL,,,,,,0.0,7.0,
SYNTHETIC_CFL_2023_W18_EDM,,2023,18,CFL,,,,,,0.0,3.0,
SYNTHETIC_CFL_2023_W19_EDM,,2023,19,CFL,,,,,,1.0,16.0,
SYNTHETIC_CFL_2023_W20_EDM,,2023,20,CFL,,,,,,2.0,5.0,
