game_id,date,season,week,league,away,home,1pt_conversion,conversions,lost_fumbles,receiving_tds,receiving_yards,receptions
SYNTHETIC_USFL_2023_W1_STALLIONS,,2023,1,USFL,,,,,,1.0,62.0,5.0
SYNTHETIC_USFL_2023_W2_STALLIONS,,2023,2,USFL,,,,,,1.0,126.0,5.0
SYNTHETIC_USFL_2023_W3_STALLIONS,,2023,3,USFL,,,,,,1.0,29.0,3.0
SYNTHETIC_USFL_2023_W4_STALLIONS,,2023,4,USFL,,,,,,0.0,5.0,1.0
SYNTHETIC_USFL_2023_W5_STALLIONS,,2023,5,USFL,,,,,,0.0,41.0,4.0
SYNTHETIC_USFL_2023_W6_STALLIONS,,2023,6,USFL,,,,,,0.0,21.0,3.0
SYNTHETIC_USFL_2023_W7_STALLIONS,,2023,7,USFL,,,,,,1.0,28.0,2.0
SYNTHETIC_USFL_2023_W8_STALLIONS,,2023,8,USFL,,,,,,1.0,62.0,3.0
SYNTHETIC_USFL_2023_W9_STALLIONS,,2023,9,USFL,,,,,,1.0,58.0,3.0
SYNTHETIC_USFL_2023_W10_STALLIONS,,2023,10,USFL,,,,,1.0,1.0,84.0,4.0
SYNTHETIC_USFL_2023_W11_STALLIONS,,2023,11,USFL,,,,,,1.0,62.0,3.0
SYNTHETIC_USFL_2023_W12_STALLIONS,,2023,12,USFL,,,,,,,65.0,3.0
SYNTHETIC_UFL_2024_W1_STALLIONS,,2024,1,UFL,,,,,,0.0,32.0,2.0
SYNTHETIC_UFL_2024_W2_STALLIONS,,2024,2,UFL,,,,,,0.0,0.0,0.0
SYNTHETIC_UFL_2024_W3_STALLIONS,,2024,3,UFL,,,,,,1.0,73.0,4.0
SYNTHETIC_UFL_2024_W4_STALLIONS,,2024,4,UFL,,,,,,0.0,50.0,2.0
SYNTHETIC_UFL_2024_W5_STALLIONS,,2024,5,UFL,,,,,,1.0,46.0,2.0
SYNTHETIC_UFL_2024_W6_STALLIONS,,2024,6,UFL,,,,,,0.0,35.0,2.0
SYNTHETIC_UFL_2024_W7_STALLIONS,,2024,7,UFL,,,1.0,,,0.0,25.0,2.0
SYNTHETIC_UFL_2024_W8_STALLIONS,,2024,8,UFL,,,,,,0.0,30.0,2.0
SYNTHETIC_UFL_2024_W9_STALLIONS,,2024,9,UFL,,,,,,1.0,110.0,7.0
SYNTHETIC_UFL_2024_W10_STALLIONS,,2024,10,UFL,,,,,,1.0,53.0,2.0
SYNTHETIC_UFL_2024_W11_STALLIONS,,2024,11,UFL,,,,,,0.0,48.0,2.0
SYNTHETIC_UFL_2024_W12_STALLIONS,,2024,12,UFL,,,,,,0.0,19.0,4.0
SYNTHETIC_UFL_2025_W1_STALLIONS,,2025,1,UFL,,,,,,0.0,0.0,0.0
SYNTHETIC_UFL_2025_W2_STALLIONS,,2025,2,UFL,,,,,,0.0,35.0,3.0
SYNTHETIC_UFL_2025_W3_STALLIONS,,2025,3,UFL,,,,,1.0,0.0,26.0,2.0
SYNTHETIC_UFL_2025_W4_STALLIONS,,2025,4,UFL,,,,,,0.0,15.0,1.0
SYNTHETIC_UFL_2025_W5_STALLIONS,,2025,5,UFL,,,,1.0,,0.0,0.0,0.0
SYNTHETIC_UFL_2025_W6_STALLIONS,,2025,6,UFL,,,,,,1.0,15.0,2.0
SYNTHETIC_UFL_2025_W7_STALLIONS,,2025,7,UFL,,,,,,1.0,74.0,4.0
SYNTHETIC_UFL_2025_W8_STALLIONS,,2025,8,UFL,,,,,,0.0,23.0,2.0
SYNTHETIC_UFL_2025_W9_STALLIONS,,2025,9,UFL,,,,,,0.0,8.0,2.0
SYNTHETIC_UFL_2025_W10_STALLIONS,,2025,10,UFL,,,,,,0.0,37.0,1.0
