game_id,date,season,week,league,away,home,blocked_punt,dst_touchdown,fumble_recoveries,interceptions_made,points_against,punt_return,sacks,safety
SYNTHETIC_USFL_2023_W1_STALLIONS,,2023,1,USFL,,,,,2.0,,10.0,,2.0,
SYNTHETIC_USFL_2023_W2_STALLIONS,,2023,2,USFL,,,,,1.0,1.0,0.0,,3.0,
SYNTHETIC_USFL_2023_W3_STALLIONS,,2023,3,USFL,,,,,,1.0,45.0,1.0,0.0,
SYNTHETIC_USFL_2023_W4_STALLIONS,,2023,4,USFL,,,,1.0,,0.0,20.0,,1.0,
SYNTHETIC_USFL_2023_W5_STALLIONS,,2023,5,USFL,,,,,,0.0,27.0,,1.0,
SYNTHETIC_USFL_2023_W6_STALLIONS,,2023,6,USFL,,,,,,0.0,13.0,,2.0,
SYNTHETIC_USFL_2023_W7_STALLIONS,,2023,7,USFL,,,,,2.0,1.0,20.0,,2.0,
SYNTHETIC_USFL_2023_W8_STALLIONS,,2023,8,USFL,,,,,,1.0,24.0,,1.0,
SYNTHETIC_USFL_2023_W9_STALLIONS,,2023,9,USFL,,,,1.0,2.0,1.0,15.0,,5.0,
SYNTHETIC_USFL_2023_W10_STALLIONS,,2023,10,USFL,,,,,,1.0,14.0,,2.0,
SYNTHETIC_USFL_2023_W11_STALLIONS,,2023,11,USFL,,,,,,2.0,22.0,,,
SYNTHETIC_USFL_2023_W12_STALLIONS,,2023,12,USFL,,,,,,,12.0,,6.0,
SYNTHETIC_UFL_2024_W1_STALLIONS,,2024,1,UFL,,,,,1.0,1.0,14.0,,2.0,
SYNTHETIC_UFL_2024_W2_STALLIONS,,2024,2,UFL,,,,,1.0,1.0,13.0,,7.0,
SYNTHETIC_UFL_2024_W3_STALLIONS,,2024,3,UFL,,,,,,1.0,12.0,,8.0,
SYNTHETIC_UFL_2024_W4_STALLIONS,,2024,4,UFL,,,,,1.0,0.0,18.0,,0.0,1.0
SYNTHETIC_UFL_2024_W5_STALLIONS,,2024,5,UFL,,,,,,2.0,9.0,,1.0,
SYNTHETIC_UFL_2024_W6_STALLIONS,,2024,6,UFL,,,,,2.0,1.0,21.0,,3.0,
SYNTHETIC_UFL_2024_W7_STALLIONS,,2024,7,UFL,,,,,,1.0,26.0,,2.0,
SYNTHETIC_UFL_2024_W8_STALLIONS,,2024,8,UFL,,,,,1.0,1.0,28.0,,2.0,
SYNTHETIC_UFL_2024_W9_STALLIONS,,2024,9,UFL,,,,,1.0,0.0,18.0,,3.0,
SYNTHETIC_UFL_2024_W10_STALLIONS,,2024,10,UFL,,,,,,0.0,19.0,,1.0,
SYNTHETIC_UFL_2024_W11_STALLIONS,,2024,11,UFL,,,,,,3.0,18.0,,5.0,
SYNTHETIC_UFL_2024_W12_STALLIONS,,2024,12,UFL,,,,,,0.0,0.0,,2.0,
SYNTHETIC_UFL_2025_W1_STALLIONS,,2025,1,UFL,,,,,,1.0,18.0,,1.0,
SYNTHETIC_UFL_2025_W2_STALLIONS,,2025,2,UFL,,,,,1.0,1.0,12.0,,3.0,
SYNTHETIC_UFL_2025_W3_STALLIONS,,2025,3,UFL,,,,,1.0,0.0,9.0,,3.0,
SYNTHETIC_UFL_2025_W4_STALLIONS,,2025,4,UFL,,,,,,1.0,16.0,,1.0,
SYNTHETIC_UFL_2025_W5_STALLIONS,,2025,5,UFL,,,,,,0.0,24.0,,0.0,
SYNTHETIC_UFL_2025_W6_STALLIONS,,2025,6,UFL,,,,,1.0,1.0,3.0,,3.0,
SYNTHETIC_UFL_2025_W7_STALLIONS,,2025,7,UFL,,,,,1.0,0.0,19.0,,4.0,
SYNTHETIC_UFL_2025_W8_STALLIONS,,2025,8,UFL,,,,,2.0,1.0,23.0,,1.0,
SYNTHETIC_UFL_2025_W9_STALLIONS,,2025,9,UFL,,,,,,0.0,22.0,,2.0,
SYNTHETIC_UFL_2025_W10_STALLIONS,,2025,10,UFL,,,0.0,2.0,,2.0,9.0,,3.0,
