game_id,date,season,week,league,away,home,interceptions_lost,lost_fumbles,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_CFL_W1_WPG,,,1,CFL,,,1.0,,0.0,209.0,,
SYNTHETIC_CFL_W2_WPG,,,2,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W3_WPG,,,3,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W4_WPG,,,4,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W5_WPG,,,5,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W6_WPG,,,6,CFL,,,1.0,,2.0,354.0,,
SYNTHETIC_CFL_W7_WPG,,,7,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W8_WPG,,,8,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W9_WPG,,,9,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W10_WPG,,,10,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W11_WPG,,,11,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W12_WPG,,,12,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W13_WPG,,,13,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W14_WPG,,,14,CFL,,,0.0,,5.0,340.0,,
SYNTHETIC_CFL_W15_WPG,,,15,CFL,,,3.0,,2.0,344.0,,
SYNTHETIC_CFL_W16_WPG,,,16,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W17_WPG,,,17,CFL,,,1.0,,1.0,258.0,,
SYNTHETIC_CFL_W18_WPG,,,18,CFL,,,1.0,,2.0,389.0,,
SYNTHETIC_CFL_W19_WPG,,,19,CFL,,,0.0,,0.0,46.0,,
SYNTHETIC_CFL_W20_WPG,,,20,CFL,,,0.0,,3.0,219.0,,
SYNTHETIC_CFL_W21_WPG,,,21,CFL,,,0.0,,2.0,278.0,,
SYNTHETIC_CFL_2023_W1_WPG,,2023,1,CFL,,,,1.0,3.0,354.0,,6.0
SYNTHETIC_CFL_2023_W3_WPG,,2023,3,CFL,,,,,,214.0,,3.0
SYNTHETIC_CFL_2023_W4_WPG,,2023,4,CFL,,,1.0,,2.0,177.0,,4.0
SYNTHETIC_CFL_2023_W5_WPG,,2023,5,CFL,,,,,2.0,231.0,,
SYNTHETIC_CFL_2023_W6_WPG,,2023,6,CFL,,,1.0,,2.0,354.0,,
SYNTHETIC_CFL_2023_W7_WPG,,2023,7,CFL,,,1.0,,2.0,308.0,,
SYNTHETIC_CFL_2023_W9_WPG,,2023,9,CFL,,,1.0,,4.0,447.0,,
SYNTHETIC_CFL_2023_W10_WPG,,2023,10,CFL,,,1.0,,4.0,313.0,,
SYNTHETIC_CFL_2023_W11_WPG,,2023,11,CFL,,,,,,171.0,,
SYNTHETIC_CFL_2023_W12_WPG,,2023,12,CFL,,,3.0,,4.0,251.0,,21.0
SYNTHETIC_CFL_2023_W13_WPG,,2023,13,CFL,,,1.0,,2.0,279.0,,5.0
SYNTHETIC_CFL_2023_W14_WPG,,2023,14,CFL,,,,,5.0,340.0,,20.0
SYNTHETIC_CFL_2023_W15_WPG,,2023,15,CFL,,,3.0,,2.0,344.0,1.0,5.0
SYNTHETIC_CFL_2023_W17_WPG,,2023,17,CFL,,,1.0,,1.0,258.0,,
SYNTHETIC_CFL_2023_W18_WPG,,2023,18,CFL,,,1.0,,2.0,404.0,,34.0
SYNTHETIC_CFL_2023_W20_WPG,,2023,20,CFL,,,,,3.0,219.0,,2.0
SYNTHETIC_CFL_2023_W21_WPG,,2023,21,CFL,,,,,2.0,306.0,1.0,25.0
SYNTHETIC_CFL_2024_W1_WPG,,2024,1,CFL,,,1.0,,,209.0,,37.0
SYNTHETIC_CFL_2024_W2_WPG,,2024,2,CFL,,,2.0,,0.0,285.0,1.0,11.0
SYNTHETIC_CFL_2024_W3_WPG,,2024,3,CFL,,,0.0,,0.0,247.0,3.0,24.0
SYNTHETIC_CFL_2024_W4_WPG,,2024,4,CFL,,,2.0,,1.0,225.0,0.0,27.0
SYNTHETIC_CFL_2024_W5_WPG,,2024,5,CFL,,,0.0,,0.0,127.0,1.0,79.0
SYNTHETIC_CFL_2024_W6_WPG,,2024,6,CFL,,,2.0,,2.0,344.0,1.0,7.0
SYNTHETIC_CFL_2024_W7_WPG,,2024,7,CFL,,,1.0,,0.0,266.0,0.0,16.0
SYNTHETIC_CFL_2024_W8_WPG,,2024,8,CFL,,,1.0,,1.0,317.0,0.0,19.0
SYNTHETIC_CFL_2024_W9_WPG,,2024,9,CFL,,,0.0,,1.0,295.0,0.0,42.0
SYNTHETIC_CFL_2024_W10_WPG,,2024,10,CFL,,,0.0,,0.0,0.0,0.0,0.0
SYNTHETIC_CFL_2024_W11_WPG,,2024,11,CFL,,,1.0,,1.0,288.0,1.0,16.0
SYNTHETIC_CFL_2024_W12_WPG,,2024,12,CFL,,,3.0,,1.0,177.0,0.0,28.0
SYNTHETIC_CFL_2024_W13_WPG,,2024,13,CFL,,,1.0,,1.0,264.0,2.0,21.0
SYNTHETIC_CFL_2024_W14_WPG,,2024,14,CFL,,,0.0,,1.0,231.0,1.0,10.0
SYNTHETIC_CFL_2024_W15_WPG,,2024,15,CFL,,,0.0,,0.0,0.0,0.0,0.0
SYNTHETIC_CFL_2024_W16_WPG,,2024,16,CFL,,,1.0,,1.0,191.0,0.0,30.0
SYNTHETIC_CFL_2024_W17_WPG,,2024,17,CFL,,,0.0,,6.0,436.0,0.0,9.0
SYNTHETIC_CFL_2024_W18_WPG,,2024,18,CFL,,,0.0,,1.0,201.0,2.0,29.0
SYNTHETIC_CFL_2024_W19_WPG,,2024,19,CFL,,,1.0,,0.0,249.0,1.0,48.0
SYNTHETIC_CFL_2024_W20_WPG,,2024,20,CFL,,,0.0,,0.0,0.0,0.0,0.0
SYNTHETIC_CFL_2024_W21_WPG,,2024,21,CFL,,,0.0,,1.0,331.0,1.0,23.0
SYNTHETIC_CFL_2025_W2_WPG,,2025,2,CFL,,,1.0,,3.0,246.0,0.0,19.0
