game_id,date,season,week,league,away,home,interceptions,interceptions_lost,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_USFL_W1_HOU,,,1,USFL,,,1.0,,1.0,81.0,,0.0
SYNTHETIC_USFL_W2_HOU,,,2,USFL,,,,3.0,2.0,150.0,,19.0
SYNTHETIC_USFL_W3_HOU,,,3,USFL,,,,1.0,2.0,,0.0,3.0
SYNTHETIC_USFL_W4_HOU,,,4,USFL,,,,0.0,1.0,,0.0,5.0
SYNTHETIC_USFL_W5_HOU,,,5,USFL,,,,1.0,1.0,165.0,1.0,23.0
SYNTHETIC_USFL_W6_HOU,,,6,USFL,,,,1.0,3.0,171.0,0.0,10.0
SYNTHETIC_USFL_W7_HOU,,,7,USFL,,,,1.0,1.0,171.0,0.0,5.0
SYNTHETIC_USFL_W8_HOU,,,8,USFL,,,,1.0,0.0,159.0,0.0,49.0
SYNTHETIC_USFL_W9_HOU,,,9,USFL,,,,0.0,1.0,164.0,0.0,36.0
SYNTHETIC_USFL_W10_HOU,,,10,USFL,,,,0.0,0.0,100.0,0.0,6.0
