game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-28-SEA-SLC,2023-04-28,2023,1,,SEA,SLC,1.0,2.0,14.0,15.0,1.0,2.0,,8.0,,18.0,3.0,94.0,119.0
2023-05-05-SLC-POR,2023-05-05,2023,2,,SLC,POR,4.0,,13.0,15.0,,,,10.0,,16.0,1.0,36.0,249.0
2023-05-06-SLC-SEA,2023-05-06,2023,2,,SLC,SEA,,1.0,,,1.0,2.0,2.0,,,,,,
2023-05-13-SLC-OAK,2023-05-13,2023,3,,SLC,OAK,1.0,2.0,7.0,8.0,,1.0,1.0,13.0,,10.0,2.0,65.0,83.0
2023-05-19-LA-SLC,2023-05-19,2023,4,,LA,SLC,1.0,1.0,10.0,19.0,,1.0,,16.0,,21.0,2.0,-6.0,152.0
2023-06-03-OAK-SLC,2023-06-03,2023,6,,OAK,SLC,2.0,,11.0,16.0,,1.0,1.0,13.0,,18.0,2.0,53.0,167.0
2023-06-09-SLC-COL,2023-06-09,2023,7,,SLC,COL,,,6.0,6.0,1.0,1.0,1.0,11.0,,7.0,1.0,24.0,84.0
2023-06-30-SLC-LA,2023-06-30,2023,10,,SLC,LA,,1.0,4.0,6.0,1.0,,,12.0,,7.0,1.0,-2.0,156.0
2023-07-01-SLC-SD,2023-07-01,2023,10,,SLC,SD,2.0,,,,,1.0,2.0,,,,,,
2023-07-07-POR-SLC,2023-07-07,2023,11,,POR,SLC,1.0,,9.0,13.0,,1.0,,13.0,1.0,15.0,2.0,-12.0,136.0
2023-07-15-NY-SLC,2023-07-15,2023,12,,NY,SLC,,,7.0,9.0,,,,11.0,,10.0,1.0,14.0,47.0
