game_id,date,season,week,league,away,home,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2023_W1_GENERALS,,2023,1,USFL,,,,0.0,,0.0,177.0,,,1.0,57.0
SYNTHETIC_USFL_2023_W2_GENERALS,,2023,2,USFL,,,,0.0,,1.0,136.0,,,0.0,21.0
SYNTHETIC_USFL_2023_W3_GENERALS,,2023,3,USFL,,,,0.0,1.0,2.0,180.0,,,1.0,98.0
SYNTHETIC_USFL_2023_W4_GENERALS,,2023,4,USFL,,,,0.0,,1.0,113.0,,,0.0,38.0
SYNTHETIC_USFL_2023_W5_GENERALS,,2023,5,USFL,,,1.0,1.0,,0.0,190.0,,,2.0,63.0
SYNTHETIC_USFL_2023_W6_GENERALS,,2023,6,USFL,,,,1.0,,1.0,177.0,,,0.0,24.0
SYNTHETIC_USFL_2023_W7_GENERALS,,2023,7,USFL,,,,0.0,,3.0,201.0,,,0.0,9.0
SYNTHETIC_USFL_2023_W8_GENERALS,,2023,8,USFL,,,,2.0,,2.0,144.0,,,0.0,76.0
SYNTHETIC_USFL_2023_W9_GENERALS,,2023,9,USFL,,,,0.0,,0.0,213.0,14.0,1.0,0.0,28.0
SYNTHETIC_USFL_2023_W10_GENERALS,,2023,10,USFL,,,,2.0,1.0,0.0,137.0,,,0.0,68.0
